TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,DeltaSeconds,Text,Location,StateProvince,Country,City,hasLocation,hasStateProvince,hasCountry,hasCity,hasTime,hasCriminal,hasDuration,hasDate,hasOrganization,hasDeath,hasMoney,hasIdeology,hasNumber,hasReligion,hasPerson,hasSet
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,957,1124,True,31592,2097,0,1,1,False,sympathy_and_emotional_support,753,0,MobileApp,3,RT @JSimrock: Thinking of all those dealing with the aftermath of the earthquake in California.,None,california,None,None,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,2482,1160,False,71166,3587,0,1,1,False,not_related_or_irrelevant,96,0,Client Web,5,Did God Send Earthquake Because California Ship Workers DenyÂ Israel http://t.co/4md1LfhE7z,None,california,israel,None,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
503643003508883458,Sun Aug 24 20:40:23 +0000 2014,105,264,False,4518,1418,0,1,1,False,not_related_or_irrelevant,101,0,MobileApp,6,Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http://t.co/buyrmiykwI,None,None,None,None,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
503643042926977025,Sun Aug 24 20:40:33 +0000 2014,154,293,False,16636,2210,0,1,0,False,sympathy_and_emotional_support,18,0,MobileApp,16,"I really like graphs, and this one is pretty good - The Napa earthquake woke this many Jawbone Up wearers http://t.co/cOq1hljgjM",None,None,None,napa,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
503643045867188224,Sun Aug 24 20:40:34 +0000 2014,1642,2058,False,240870,2274,0,1,0,False,not_related_or_irrelevant,435,0,Client Web,17,"RT @EditInfluence: Top story: M6.0  - 6km NW of American Canyon, California 2014-08-24 10:20:44 UTC http://t.co/xqp2iRgIKw, see more http:/â€¦",None,california,None,None,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False
503643081066184704,Sun Aug 24 20:40:42 +0000 2014,345,57,False,4662,2412,0,0,1,False,sympathy_and_emotional_support,0,0,Facebook,25,Prayers to all affected by napaearthquake  this morning http://t.co/2Vmz353lCf,None,None,None,None,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
503643124787609600,Sun Aug 24 20:40:52 +0000 2014,1488,750,True,100637,2419,1,0,0,False,donation_needs_or_offers_or_volunteering_services,3007,0,MobileApp,35,"Full statement by Napa Valley Vintners on new earthquake relief find, with link for making donations: http://t.co/KuWzMz5zpV via  NapaRegis",None,None,None,None,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
503643126683009025,Sun Aug 24 20:40:53 +0000 2014,3818,5070,False,28987,3304,1,3,1,True,not_related_or_irrelevant,3,0,MobileApp,36,RT @bgittleson: This photo is very California. napa earthquake http://t.co/ZChvmbR369,None,california,None,None,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
503643158580690944,Sun Aug 24 20:41:00 +0000 2014,774,3215,True,101428,3364,0,1,1,False,not_related_or_irrelevant,141,0,MobileApp,43,RT @bgittleson: This photo is very California. napa earthquake http://t.co/ZChvmbR369,None,california,None,None,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
503643164834803712,Sun Aug 24 20:41:02 +0000 2014,250,960,False,3702,3152,0,1,0,False,sympathy_and_emotional_support,41,0,Client Web,45,"""ELCA offers prayers for those affected by California earthquake"" via @ELCANews http://t.co/80awJvXtvj UNYS",None,california,None,None,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
