TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,DeltaSeconds
382813391435206659,Wed Sep 25 10:26:39 +0000 2013,2552,498,True,18837,3065,2,2,0,False,not_related_or_irrelevant,20,0,Client Web,0
382813401845485568,Wed Sep 25 10:26:41 +0000 2013,216,235,True,20799,2004,2,1,1,False,not_related_or_irrelevant,4,0,MobileApp,2
382813437513834497,Wed Sep 25 10:26:50 +0000 2013,7600,4191,False,181458,2198,2,3,1,False,donation_needs_or_offers_or_volunteering_services,1,0,Client Web,11
382813466014121984,Wed Sep 25 10:26:57 +0000 2013,12768,396,True,25090,2711,2,2,0,False,not_related_or_irrelevant,20,0,MobileApp,18
382813514881982464,Wed Sep 25 10:27:08 +0000 2013,1911,46,False,36958,1729,2,0,1,False,not_related_or_irrelevant,0,0,Twitterfeed,29
382813518602313729,Wed Sep 25 10:27:09 +0000 2013,12235,855,True,58697,2981,3,1,0,False,donation_needs_or_offers_or_volunteering_services,5,1,Client Web,30
382813601024995328,Wed Sep 25 10:27:29 +0000 2013,5432,786,True,21196,2971,4,1,0,False,donation_needs_or_offers_or_volunteering_services,2,0,MobileApp,50
382813620356534272,Wed Sep 25 10:27:34 +0000 2013,28857,990,False,305410,2982,3,2,0,False,donation_needs_or_offers_or_volunteering_services,6,0,Tweetbot,55
382813932437917696,Wed Sep 25 10:28:48 +0000 2013,23823,83,False,8110,2193,4,0,0,False,donation_needs_or_offers_or_volunteering_services,19,1,MobileApp,129
382814060326043648,Wed Sep 25 10:29:18 +0000 2013,131,29,False,98,1824,1,1,0,False,donation_needs_or_offers_or_volunteering_services,1,0,Client Web,159
382814062196703232,Wed Sep 25 10:29:19 +0000 2013,877086,721,True,47985,2505,1,0,1,True,not_related_or_irrelevant,11,2,Client Web,160
382814074439868419,Wed Sep 25 10:29:22 +0000 2013,7253,2124,True,181094,1982,4,1,0,False,sympathy_and_emotional_support,19,0,Client Web,163
382814086519869441,Wed Sep 25 10:29:25 +0000 2013,346,346,True,2990,2245,5,1,0,False,not_related_or_irrelevant,7,0,MobileApp,166
382814115276025856,Wed Sep 25 10:29:32 +0000 2013,574,536,False,7730,2931,1,2,0,False,not_related_or_irrelevant,0,1,OtherSite,173
382814118056431616,Wed Sep 25 10:29:32 +0000 2013,747,1,True,22150,2004,6,0,1,False,not_related_or_irrelevant,0,0,TweetDeck,173
382814146620059648,Wed Sep 25 10:29:39 +0000 2013,30,489,True,617,1826,1,1,0,False,not_related_or_irrelevant,37,0,MobileApp,180
382814148851023872,Wed Sep 25 10:29:40 +0000 2013,2752,0,False,48537,2970,6,0,1,False,sympathy_and_emotional_support,0,0,TweetDeck,181
382814178768990208,Wed Sep 25 10:29:47 +0000 2013,1259,160,False,581137,3591,6,1,0,False,not_related_or_irrelevant,5,0,UnofficialApps,188
382814179624628224,Wed Sep 25 10:29:47 +0000 2013,3495,825,True,37511,2849,2,2,0,False,donation_needs_or_offers_or_volunteering_services,2,0,MobileWeb,188
382814241843343361,Wed Sep 25 10:30:02 +0000 2013,14492,22,True,135159,1930,6,0,0,False,donation_needs_or_offers_or_volunteering_services,2,1,MobileApp,203
382814365323247617,Wed Sep 25 10:30:31 +0000 2013,21599,3015,True,12241,2440,1,0,0,True,not_related_or_irrelevant,4,0,TweetDeck,232
382814414220824576,Wed Sep 25 10:30:43 +0000 2013,180,752,False,5542,2678,6,1,0,False,donation_needs_or_offers_or_volunteering_services,5,0,MobileApp,244
382814450119876608,Wed Sep 25 10:30:51 +0000 2013,738,687,True,12441,3041,3,2,1,False,donation_needs_or_offers_or_volunteering_services,0,0,MobileApp,252
382814495527038976,Wed Sep 25 10:31:02 +0000 2013,368,423,False,47736,2817,4,0,1,False,donation_needs_or_offers_or_volunteering_services,0,0,OtherSite,263
382814514682413056,Wed Sep 25 10:31:07 +0000 2013,6510,692,False,5417,2203,0,1,0,False,sympathy_and_emotional_support,4,0,TweetDeck,268
382814531753639936,Wed Sep 25 10:31:11 +0000 2013,454,295,False,12234,1783,2,1,0,False,not_related_or_irrelevant,5,0,MobileApp,272
382814739367084032,Wed Sep 25 10:32:00 +0000 2013,124974,1673,False,216952,2440,1,1,0,False,not_related_or_irrelevant,11,0,Client Web,321
382814746774626304,Wed Sep 25 10:32:02 +0000 2013,771,50,True,6863,2940,3,0,1,False,not_related_or_irrelevant,0,0,MobileApp,323
382814766852358145,Wed Sep 25 10:32:07 +0000 2013,2085,560,True,1037,2869,2,0,1,False,donation_needs_or_offers_or_volunteering_services,0,0,Developer,328
382814800163508224,Wed Sep 25 10:32:15 +0000 2013,1688,5000,False,198415,1867,6,1,0,False,donation_needs_or_offers_or_volunteering_services,12,0,Client Web,336
382814827439071232,Wed Sep 25 10:32:21 +0000 2013,8338,907,True,85714,2312,3,2,0,False,not_related_or_irrelevant,6,0,Tablet,342
382814901263015937,Wed Sep 25 10:32:39 +0000 2013,1190,238,False,198809,2510,5,1,0,False,not_related_or_irrelevant,4,0,Client Web,360
