tweet_id,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_text
'382813391435206659',879819339,False,finalized,3,2/11/2016 09:52:13,not_related_or_irrelevant,0.6345,,"QuakeFactor M 3.0, Southern Alaska: Sunday, September 29, 2013 21:15:20 UTCSunday, Septemb... http://t.co/edtau43Co2 #earthquake, #quake"
'382813401845485568',879819340,False,finalized,3,2/11/2016 08:00:14,not_related_or_irrelevant,0.6757,,What you wanna say abt #TTP #PeaceTalks &amp; #Pakistan ??? Call now &amp; #LetsTalk to RJ @ubaid_imran Live Now Insaf... http://t.co/tUAIo0krST
'382813437513834497',879819341,False,finalized,3,2/11/2016 09:36:47,donation_needs_or_offers_or_volunteering_services,0.6372,,Top Story: Pakistan quake survivors face long wait for aid: Awaran (Pakistan)- Tens of thousan... http://t.co/Cd6SYLXs5f #pakistan #news
'382813466014121984',879819345,False,finalized,3,2/11/2016 07:33:56,not_related_or_irrelevant,0.6667,,@AQpk 1300+ People have been killed due to terrorism in last 15 weeks. http://t.co/vwUGXigs6p  #OverthrowCorruptSystem #Pakistan
'382813514881982464',879819349,False,finalized,3,2/11/2016 07:29:42,not_related_or_irrelevant,0.3429,,RT @CNBCPAKISTAN: Ch. Nisar: Rockets were fired at a rescue and relief helicopter when it tried to access #earthquake victims in #Balochistâ€¦
'382813518602313729',879819350,False,finalized,3,2/11/2016 07:30:31,donation_needs_or_offers_or_volunteering_services,0.6562,,Azerbaijani Ministry of Emergency Situations offered to #Pakistan to hold rescue operations in the quake-hit regions http://t.co/rlrOxB65s6
'382813565054226432',879819356,False,finalized,3,2/11/2016 09:30:49,not_related_or_irrelevant,0.3514,,RT @allaboutmqm: News: #MQM Quaid Altaf Hussain Voices Concern Over Murderous Attempt On Prof Nabiâ€™s Life #Karachi #Pakistan http://t.co/28â€¦
'382813601024995328',879819359,False,finalized,4,2/11/2016 09:12:29,donation_needs_or_offers_or_volunteering_services,1.0,,RT @allaboutmqm: News: This is the time of the need we must help the affected people of #Balochistan: @MQMUSA #MQM #Pakistan http://t.co/HQâ€¦
'382813620356534272',879819360,False,finalized,4,2/11/2016 09:11:54,donation_needs_or_offers_or_volunteering_services,0.7292,,RT @Chiltan: she is waiting for your help #Awaran girl child #BalochistanEarthquake  http://t.co/jlzN8iMrOx
'382813932437917696',879819378,False,finalized,3,2/11/2016 09:31:23,donation_needs_or_offers_or_volunteering_services,0.3514,,Watching Pakistan #earthquake News! Shocked 2 c..ppl.they still waiting f any helps 2 save Life! WaheGuru!
'382814060326043648',879819382,False,finalized,3,2/11/2016 09:19:31,donation_needs_or_offers_or_volunteering_services,1.0,,"RT @janbaloch45: Don't Forget your #Awaran #Mashkay Brothers &amp; Sisters, You can donate blood for quake victims: Call: 03203202986  #Balochiâ€¦"
'382814062196703232',879819384,False,finalized,3,2/11/2016 09:27:27,not_related_or_irrelevant,0.6148,,RT @MrTippler: If Peace has killed people and destroyed lives for decades...how is it better than a War which might provide a resolution? #â€¦
'382814074439868419',879819387,False,finalized,3,2/11/2016 09:18:16,sympathy_and_emotional_support,0.6944,,#currently #reading #word #wisdom #earthquake #faith #praying ðŸ™ðŸ™ http://t.co/deHuDeYqrj
'382814086519869441',879819388,False,finalized,3,2/11/2016 09:47:48,not_related_or_irrelevant,1.0,,RT @diplo: Twerkbook pro #plurnt #earthquake http://t.co/5x5ya6wxF6
'382814115276025856',879819390,False,finalized,3,2/11/2016 07:35:13,not_related_or_irrelevant,1.0,,How can anyone dislike #SMAP? Those guys are awesome. #311 #earthquake
'382814116127465472',879819391,False,finalized,3,2/11/2016 10:06:04,donation_needs_or_offers_or_volunteering_services,0.6364,,RT @ITs_AzaD: Please Help Awaran and Kech EarthQuake Victims. #Balochistan https://t.co/qzpCyT38va @hrw @UN_HRC @HRC @Refugees
'382814118056431616',879819392,False,finalized,3,2/11/2016 07:32:48,not_related_or_irrelevant,0.3636,,RT @JuD_Cyberteam: #JUDReleif International Media Coverage in @BBCUrdu  #Earthquake http://t.co/wiV9lPdTZt
'382814125673693184',879819393,False,finalized,3,2/11/2016 09:40:05,not_related_or_irrelevant,0.3465,,#Balochistan PDMA is doing what it can with the next to nothing resources it has.. help them out people.. Ask them what they need exactly
'382814132225191936',879819396,False,finalized,3,2/11/2016 07:55:42,donation_needs_or_offers_or_volunteering_services,0.6571,,"RT @AsCorrespondent: Pakistanis struggle for food, shelter after quake  http://t.co/5PBQAdPaqQ #Pakistan"
'382814146620059648',879819403,False,finalized,3,2/11/2016 08:43:34,not_related_or_irrelevant,0.6579,,"#Pakistan PM Nawaz Sharif said â€œIslam is a religion of peace, compassion and brotherhood.â€"
'382814146691346432',879819404,False,finalized,3,2/11/2016 09:34:23,not_related_or_irrelevant,0.6757,,#ThanksMQM for helping people of #Pakistan in their bad &amp;amp;amp;amp;amp; good times via #KKF
'382814148851023872',879819405,False,finalized,3,2/11/2016 08:58:44,sympathy_and_emotional_support,0.6389,,"RT @AsimBajwaISPR: #Earthquake: Appreciate the spirit of this young donor- F-9 Park Collection Point, Isd. http://t.co/x7G3SAfjNZ"
'382814154165612544',879819408,False,finalized,3,2/11/2016 09:36:26,donation_needs_or_offers_or_volunteering_services,1.0,,News: #KKF Have Dispatched Three Trucks Loaded with Relief Goods for #Baluchistan #Earthquake Victims #ReliefByKKF http://t.co/2j3BPtc9FT
'382814178768990208',879819413,False,finalized,3,2/11/2016 07:47:07,not_related_or_irrelevant,1.0,,Some sources said that 1200 rape cases have been registered in #Pakistan in last 6 months. :-( Nation needs some lectures on ethics.
'382814179624628224',879819414,False,finalized,3,2/11/2016 09:19:03,donation_needs_or_offers_or_volunteering_services,1.0,,"RT @UWT_UK: Tent villages have been set up in in Muzaffargar, #Pakistan to help families affected by flooding. http://t.co/eqg3uuV47w"
'382814241843343361',879819416,False,finalized,3,2/11/2016 07:32:48,donation_needs_or_offers_or_volunteering_services,1.0,,"#EarthQuake : Packed food items/ grains, bottled water, meds, tent/s can be deposited at COD, DHA or any nearby Rangers Unit. #Karachi"
'382814365323247617',879819421,False,finalized,3,2/11/2016 07:55:13,not_related_or_irrelevant,0.6667,,@etribune #Twitter #name #island #Pakistan #earthquake #possiblenamesofnewisland #ZalaZalaIsland
'382814414220824576',879819424,False,finalized,3,2/11/2016 09:07:22,donation_needs_or_offers_or_volunteering_services,1.0,,RT @oxfamgbpress: Oxfam due to start aid distribution today to those affected by #Pakistan earthquake http://t.co/CROvT0SkOr
'382814450119876608',879819426,False,finalized,3,2/11/2016 07:52:59,donation_needs_or_offers_or_volunteering_services,1.0,,#PakArmy soldiers distributing relief goods among #Earthquake victims #bravo #salute2pakarmy !! http://t.co/c6oIVCarTS
'382814482314973185',879819427,False,finalized,3,2/11/2016 09:52:13,sympathy_and_emotional_support,1.0,,RT @OfficialMqm: Pic8: Prayers held for Pakka Qila #HyderabadMassacre at Lal Qila Ground 90 #Karachi #Pakistan http://t.co/gebczrY2Wu
'382814495527038976',879819430,False,finalized,3,2/11/2016 08:50:28,donation_needs_or_offers_or_volunteering_services,1.0,,RT @AQpk: Salute to #Pakistani soldiers/doctors/engineers flown to #Balochistan to help our people after #earthquake.
'382814514682413056',879819431,False,finalized,3,2/11/2016 07:37:05,sympathy_and_emotional_support,1.0,,Prayers to those affected by the earthquake in #Pakistan
'382814531753639936',879819434,False,finalized,3,2/11/2016 07:53:44,not_related_or_irrelevant,0.6471,,"RT @NewPakistan2020: Friday Prayers a Group of Protestors holding the  Flag of #Pakistan in  #Srinagar http://t.co/ciPOjM4Nkk"" #Kashmir"
'382814540481560576',879819436,False,finalized,3,2/11/2016 07:33:57,not_related_or_irrelevant,0.6571,,The increase in electricity rates will destroy poor's life in #Pakistan. Even middle class will find it hard to accomodate it in budget.
