TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,DeltaSeconds
382813388503412736,Wed Sep 25 10:26:38 +0000 2013,503,518,True,4085,2023,3,2,0,False,other_useful_information,6,0,0
382813391435206659,Wed Sep 25 10:26:39 +0000 2013,2551,498,True,18842,3061,2,2,0,False,not_related_or_irrelevant,20,0,1
382813401845485568,Wed Sep 25 10:26:41 +0000 2013,218,235,True,20799,2000,2,1,1,False,not_related_or_irrelevant,4,0,3
382813437513834497,Wed Sep 25 10:26:50 +0000 2013,7605,4194,False,181299,2195,2,3,1,False,donation_needs_or_offers_or_volunteering_services,1,0,12
382813444011204608,Wed Sep 25 10:26:52 +0000 2013,117,273,False,6629,2522,1,1,1,False,other_useful_information,252,0,14
382813445495586816,Wed Sep 25 10:26:52 +0000 2013,517,331,True,20848,1813,2,1,0,False,other_useful_information,5,0,14
382813466014121984,Wed Sep 25 10:26:57 +0000 2013,12701,395,True,25074,2707,2,2,0,False,not_related_or_irrelevant,20,0,19
382813467528282112,Wed Sep 25 10:26:57 +0000 2013,1031,2101,True,6637,3317,2,1,1,False,injured_or_dead_people,16,0,19
382813501489946624,Wed Sep 25 10:27:05 +0000 2013,68,154,False,1534,1754,3,1,0,False,injured_or_dead_people,4,0,27
382813514881982464,Wed Sep 25 10:27:08 +0000 2013,1909,46,False,36955,1725,2,0,1,False,not_related_or_irrelevant,0,0,30
382813518602313729,Wed Sep 25 10:27:09 +0000 2013,12233,855,True,58619,2978,3,1,0,False,donation_needs_or_offers_or_volunteering_services,5,1,31
382813530396700672,Wed Sep 25 10:27:12 +0000 2013,1740,1391,True,13110,3635,1,2,0,False,other_useful_information,71,0,34
382813532305096705,Wed Sep 25 10:27:13 +0000 2013,21130,364,False,26556,3021,1,1,0,False,other_useful_information,9,0,35
382813540366954497,Wed Sep 25 10:27:15 +0000 2013,20,10,False,35617,2234,1,0,1,False,other_useful_information,0,0,37
382813540413095936,Wed Sep 25 10:27:15 +0000 2013,20,10,False,35617,2234,1,0,1,False,injured_or_dead_people,0,0,37
382813561875361792,Wed Sep 25 10:27:20 +0000 2013,1155,4541,True,21051,3128,1,2,0,False,missing_trapped_or_found_people,71,0,42
382813587410259968,Wed Sep 25 10:27:26 +0000 2013,28844,987,False,304640,2979,1,1,0,False,injured_or_dead_people,2,0,48
382813601024995328,Wed Sep 25 10:27:29 +0000 2013,5411,786,True,21155,2967,4,1,0,False,donation_needs_or_offers_or_volunteering_services,2,0,51
382813620356534272,Wed Sep 25 10:27:34 +0000 2013,28844,987,False,304640,2979,3,2,0,False,donation_needs_or_offers_or_volunteering_services,6,0,56
382813652752928768,Wed Sep 25 10:27:41 +0000 2013,416,371,False,57651,3258,2,1,0,False,injured_or_dead_people,5,0,63
382813700375474176,Wed Sep 25 10:27:53 +0000 2013,739,687,True,12428,3037,1,0,0,False,other_useful_information,0,0,75
382813702132867072,Wed Sep 25 10:27:53 +0000 2013,1451,2178,True,98660,3012,3,2,1,False,other_useful_information,4,0,75
382813719941484544,Wed Sep 25 10:27:57 +0000 2013,54,143,False,5530,2419,2,1,0,False,caution_and_advice,1,0,79
382813733623300096,Wed Sep 25 10:28:01 +0000 2013,428,1243,True,10211,3199,1,0,1,False,other_useful_information,0,0,83
382813761330888704,Wed Sep 25 10:28:07 +0000 2013,658,818,True,2941,1794,3,0,1,False,other_useful_information,0,0,89
382813788832940033,Wed Sep 25 10:28:14 +0000 2013,5385,1943,True,37640,3166,2,1,1,False,injured_or_dead_people,16,0,96
382813812040409089,Wed Sep 25 10:28:19 +0000 2013,198,63,True,6119,3372,4,0,1,False,other_useful_information,0,0,101
382813829719019521,Wed Sep 25 10:28:24 +0000 2013,4045,236,True,21624,2744,1,0,1,False,caution_and_advice,6,1,106
382813848006180864,Wed Sep 25 10:28:28 +0000 2013,147,243,False,5098,3239,1,1,0,False,other_useful_information,9,0,110
382813873679896576,Wed Sep 25 10:28:34 +0000 2013,519,232,True,4317,1761,2,0,0,False,infrastructure_and_utilities_damage,0,2,116
382813924208308224,Wed Sep 25 10:28:46 +0000 2013,4188,1101,True,4989,2942,5,0,0,False,other_useful_information,0,0,128
382813932437917696,Wed Sep 25 10:28:48 +0000 2013,23734,83,False,8098,2190,4,0,0,False,donation_needs_or_offers_or_volunteering_services,19,1,130
382813945913831424,Wed Sep 25 10:28:51 +0000 2013,3956,1518,False,30422,2321,2,2,0,False,caution_and_advice,4,0,133
382813996354510848,Wed Sep 25 10:29:03 +0000 2013,174,272,False,14761,3211,1,1,0,False,other_useful_information,18,0,145
382814017099558912,Wed Sep 25 10:29:08 +0000 2013,403,700,False,4109,3290,2,1,1,False,other_useful_information,16,0,150
382814060326043648,Wed Sep 25 10:29:18 +0000 2013,131,29,False,98,1820,1,1,0,False,donation_needs_or_offers_or_volunteering_services,1,0,160
382814060385161216,Wed Sep 25 10:29:19 +0000 2013,239,402,True,7524,1990,1,1,0,False,caution_and_advice,1,0,161
382814062196703232,Wed Sep 25 10:29:19 +0000 2013,876015,721,True,47943,2501,1,0,1,True,not_related_or_irrelevant,11,2,161
382814062704226304,Wed Sep 25 10:29:19 +0000 2013,416,371,False,57651,3258,4,1,0,False,injured_or_dead_people,2,0,161
