TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,DeltaSeconds
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,954,1123,True,31573,2095,0,1,1,False,sympathy_and_emotional_support,753,0,0
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,2483,1160,False,71148,3586,0,1,1,False,not_related_or_irrelevant,96,0,2
503643003508883458,Sun Aug 24 20:40:23 +0000 2014,105,264,False,4518,1416,0,1,1,False,not_related_or_irrelevant,101,0,3
503643042926977025,Sun Aug 24 20:40:33 +0000 2014,154,293,False,16636,2209,0,1,0,False,sympathy_and_emotional_support,18,0,13
503643045867188224,Sun Aug 24 20:40:34 +0000 2014,1641,2058,False,240870,2272,0,1,0,False,not_related_or_irrelevant,435,0,14
503643081066184704,Sun Aug 24 20:40:42 +0000 2014,344,57,False,4661,2410,0,0,1,False,sympathy_and_emotional_support,0,0,22
503643124787609600,Sun Aug 24 20:40:52 +0000 2014,1488,750,True,100671,2417,1,0,0,False,donation_needs_or_offers_or_volunteering_services,3008,0,32
503643126683009025,Sun Aug 24 20:40:53 +0000 2014,3816,5066,False,28974,3302,1,3,1,True,not_related_or_irrelevant,3,0,33
503643158580690944,Sun Aug 24 20:41:00 +0000 2014,774,3213,True,101420,3362,0,1,1,False,not_related_or_irrelevant,141,0,40
503643164834803712,Sun Aug 24 20:41:02 +0000 2014,250,960,False,3702,3151,0,1,0,False,sympathy_and_emotional_support,41,0,42
503643166453825537,Sun Aug 24 20:41:02 +0000 2014,187,69,False,23846,3583,2,1,1,False,donation_needs_or_offers_or_volunteering_services,172,0,42
503643171327602689,Sun Aug 24 20:41:03 +0000 2014,34,274,True,382,2291,0,1,1,False,not_related_or_irrelevant,0,0,43
503643171775983616,Sun Aug 24 20:41:04 +0000 2014,178,420,True,2813,2037,1,2,0,False,sympathy_and_emotional_support,17,0,44
503643181620015104,Sun Aug 24 20:41:06 +0000 2014,115,458,False,1378,3315,1,2,0,False,donation_needs_or_offers_or_volunteering_services,5,0,46
503643190864257024,Sun Aug 24 20:41:08 +0000 2014,1822,2400,False,36670,2532,0,1,1,False,sympathy_and_emotional_support,0,0,48
503643192734916608,Sun Aug 24 20:41:09 +0000 2014,11202,937,False,7149,3340,0,0,0,False,not_related_or_irrelevant,0,0,49
503643216424357888,Sun Aug 24 20:41:14 +0000 2014,66,30,False,102040,1584,0,0,0,False,sympathy_and_emotional_support,0,0,54
503643218278240256,Sun Aug 24 20:41:15 +0000 2014,41,0,False,100018,1748,0,0,0,False,not_related_or_irrelevant,0,0,55
503643219885031424,Sun Aug 24 20:41:15 +0000 2014,13644,2174,True,14003,2972,0,0,0,True,not_related_or_irrelevant,1,0,55
503643220949991424,Sun Aug 24 20:41:15 +0000 2014,1823,1862,False,60093,2727,0,0,1,False,not_related_or_irrelevant,0,0,55
503643221218824192,Sun Aug 24 20:41:15 +0000 2014,774,1285,True,2351,1420,0,2,0,False,not_related_or_irrelevant,9,0,55
503643222598356992,Sun Aug 24 20:41:16 +0000 2014,147,0,False,162727,1480,0,0,1,False,donation_needs_or_offers_or_volunteering_services,0,0,56
503643253875286016,Sun Aug 24 20:41:23 +0000 2014,10,160,True,683,1392,0,2,0,False,not_related_or_irrelevant,410,0,63
503643274926518272,Sun Aug 24 20:41:28 +0000 2014,297,289,True,17574,2142,2,1,0,False,not_related_or_irrelevant,4542,0,68
503643285572055042,Sun Aug 24 20:41:31 +0000 2014,52,617,True,121,3110,0,1,0,False,not_related_or_irrelevant,661,0,71
503643291150458880,Sun Aug 24 20:41:32 +0000 2014,2274,539,False,76889,2556,3,1,1,False,donation_needs_or_offers_or_volunteering_services,0,0,72
503643293406609409,Sun Aug 24 20:41:33 +0000 2014,3263,1481,False,2762,3372,0,1,0,True,donation_needs_or_offers_or_volunteering_services,30,0,73
503643304790360065,Sun Aug 24 20:41:35 +0000 2014,2851,302,False,88768,2641,3,1,1,False,not_related_or_irrelevant,0,0,75
503643306291896320,Sun Aug 24 20:41:36 +0000 2014,3954,737,True,57418,3060,3,1,1,False,not_related_or_irrelevant,0,0,76
503643306971398144,Sun Aug 24 20:41:36 +0000 2014,8063,610,False,82471,3037,3,1,1,False,not_related_or_irrelevant,0,0,76
503643307071639552,Sun Aug 24 20:41:36 +0000 2014,2699,656,True,2295,2445,1,1,1,False,not_related_or_irrelevant,1,0,76
503643312063258625,Sun Aug 24 20:41:37 +0000 2014,1751,316,False,117302,2199,3,1,1,False,not_related_or_irrelevant,0,0,77
503643315548323840,Sun Aug 24 20:41:38 +0000 2014,60,175,False,64,1845,2,1,0,False,not_related_or_irrelevant,4542,0,78
503643323173969920,Sun Aug 24 20:41:40 +0000 2014,4486,868,True,86610,2426,3,1,1,False,sympathy_and_emotional_support,0,0,80
503643335857569792,Sun Aug 24 20:41:43 +0000 2014,2086,216,False,113609,2954,3,1,1,False,sympathy_and_emotional_support,0,0,83
503643338332180482,Sun Aug 24 20:41:43 +0000 2014,139,3368,False,15689,2647,0,0,0,False,not_related_or_irrelevant,0,0,83
503643339187830784,Sun Aug 24 20:41:44 +0000 2014,505,2641,True,7081,2316,1,1,1,False,not_related_or_irrelevant,25,0,84
503643342585233408,Sun Aug 24 20:41:44 +0000 2014,658,188,False,11438,2584,3,1,1,False,not_related_or_irrelevant,0,0,84
503643345496047616,Sun Aug 24 20:41:45 +0000 2014,5300,209,False,37029,2881,3,1,1,False,not_related_or_irrelevant,0,0,85
503643352106299392,Sun Aug 24 20:41:47 +0000 2014,3366,472,False,125077,2607,3,1,1,False,not_related_or_irrelevant,0,0,87
503643360381652992,Sun Aug 24 20:41:49 +0000 2014,7150,7849,True,227609,2341,0,0,1,False,sympathy_and_emotional_support,0,0,89
503643362658750464,Sun Aug 24 20:41:49 +0000 2014,1332,1218,False,5693,2819,1,1,0,False,donation_needs_or_offers_or_volunteering_services,21,0,89
503643364827598848,Sun Aug 24 20:41:50 +0000 2014,398,153,True,2485,2057,1,3,1,False,not_related_or_irrelevant,1,0,90
503643365771341825,Sun Aug 24 20:41:50 +0000 2014,3022,298,False,87750,2270,3,1,1,False,sympathy_and_emotional_support,0,0,90
503643460797485056,Sun Aug 24 20:42:12 +0000 2014,3626,255,True,46379,2967,3,1,1,False,not_related_or_irrelevant,0,0,112
503643462370328576,Sun Aug 24 20:42:13 +0000 2014,9084,1880,False,346626,3013,3,1,1,False,not_related_or_irrelevant,0,0,113
503643463125311488,Sun Aug 24 20:42:13 +0000 2014,1118,265,False,35746,2139,3,1,1,False,not_related_or_irrelevant,0,0,113
