TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,DeltaSeconds
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,957,1124,True,31592,2097,0,1,1,False,sympathy_and_emotional_support,753,0,MobileApp,3
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,2482,1160,False,71166,3587,0,1,1,False,not_related_or_irrelevant,96,0,Client Web,5
503643003508883458,Sun Aug 24 20:40:23 +0000 2014,105,264,False,4518,1418,0,1,1,False,not_related_or_irrelevant,101,0,MobileApp,6
503643042926977025,Sun Aug 24 20:40:33 +0000 2014,154,293,False,16636,2210,0,1,0,False,sympathy_and_emotional_support,18,0,MobileApp,16
503643045867188224,Sun Aug 24 20:40:34 +0000 2014,1642,2058,False,240870,2274,0,1,0,False,not_related_or_irrelevant,435,0,Client Web,17
503643081066184704,Sun Aug 24 20:40:42 +0000 2014,345,57,False,4662,2412,0,0,1,False,sympathy_and_emotional_support,0,0,Facebook,25
503643124787609600,Sun Aug 24 20:40:52 +0000 2014,1488,750,True,100637,2419,1,0,0,False,donation_needs_or_offers_or_volunteering_services,3007,0,MobileApp,35
503643126683009025,Sun Aug 24 20:40:53 +0000 2014,3818,5070,False,28987,3304,1,3,1,True,not_related_or_irrelevant,3,0,MobileApp,36
503643158580690944,Sun Aug 24 20:41:00 +0000 2014,774,3215,True,101428,3364,0,1,1,False,not_related_or_irrelevant,141,0,MobileApp,43
503643164834803712,Sun Aug 24 20:41:02 +0000 2014,250,960,False,3702,3152,0,1,0,False,sympathy_and_emotional_support,41,0,Client Web,45
503643166453825537,Sun Aug 24 20:41:02 +0000 2014,187,69,False,23846,3585,2,1,1,False,donation_needs_or_offers_or_volunteering_services,172,0,Tablet,45
503643171327602689,Sun Aug 24 20:41:03 +0000 2014,34,274,True,382,2293,0,1,1,False,not_related_or_irrelevant,0,0,MobileApp,46
503643171775983616,Sun Aug 24 20:41:04 +0000 2014,178,419,True,2813,2038,1,2,0,False,sympathy_and_emotional_support,17,0,MobileApp,47
503643181620015104,Sun Aug 24 20:41:06 +0000 2014,115,458,False,1378,3317,1,2,0,False,donation_needs_or_offers_or_volunteering_services,5,0,MobileApp,49
503643190864257024,Sun Aug 24 20:41:08 +0000 2014,1828,2375,False,36682,2534,0,1,1,False,sympathy_and_emotional_support,0,0,Developer,51
503643192734916608,Sun Aug 24 20:41:09 +0000 2014,11192,937,False,7150,3342,0,0,0,False,not_related_or_irrelevant,0,0,MobileApp,52
503643216424357888,Sun Aug 24 20:41:14 +0000 2014,66,30,False,102040,1585,0,0,0,False,sympathy_and_emotional_support,0,0,Twitterfeed,57
503643218278240256,Sun Aug 24 20:41:15 +0000 2014,41,0,False,100018,1750,0,0,0,False,not_related_or_irrelevant,0,0,Twitterfeed,58
503643219885031424,Sun Aug 24 20:41:15 +0000 2014,13643,2175,True,14009,2973,0,0,0,True,not_related_or_irrelevant,1,0,MobileApp,58
503643220949991424,Sun Aug 24 20:41:15 +0000 2014,1822,1862,False,60093,2728,0,0,1,False,not_related_or_irrelevant,0,0,Twitterfeed,58
503643221218824192,Sun Aug 24 20:41:15 +0000 2014,774,1285,True,2351,1422,0,2,0,False,not_related_or_irrelevant,9,0,Client Web,58
503643222598356992,Sun Aug 24 20:41:16 +0000 2014,147,0,False,162727,1481,0,0,1,False,donation_needs_or_offers_or_volunteering_services,0,0,OtherSite,59
503643253875286016,Sun Aug 24 20:41:23 +0000 2014,10,160,True,683,1394,0,2,0,False,not_related_or_irrelevant,409,0,MobileApp,66
503643274926518272,Sun Aug 24 20:41:28 +0000 2014,298,290,True,17569,2144,2,1,0,False,not_related_or_irrelevant,4542,0,MobileApp,71
503643285572055042,Sun Aug 24 20:41:31 +0000 2014,52,617,True,121,3112,0,1,0,False,not_related_or_irrelevant,661,0,MobileApp,74
503643291150458880,Sun Aug 24 20:41:32 +0000 2014,2273,539,False,76889,2558,3,1,1,False,donation_needs_or_offers_or_volunteering_services,0,0,UnofficialApps,75
503643293406609409,Sun Aug 24 20:41:33 +0000 2014,3266,1481,False,2763,3374,0,1,0,True,donation_needs_or_offers_or_volunteering_services,30,0,Client Web,76
503643304790360065,Sun Aug 24 20:41:35 +0000 2014,2850,302,False,88768,2643,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,78
503643306291896320,Sun Aug 24 20:41:36 +0000 2014,3954,737,True,57418,3062,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,79
503643306971398144,Sun Aug 24 20:41:36 +0000 2014,8064,610,False,82465,3038,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,79
503643307071639552,Sun Aug 24 20:41:36 +0000 2014,2726,656,True,2295,2447,1,1,1,False,not_related_or_irrelevant,1,0,Developer,79
503643312063258625,Sun Aug 24 20:41:37 +0000 2014,1750,316,False,117302,2201,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,80
503643315548323840,Sun Aug 24 20:41:38 +0000 2014,60,175,False,64,1847,2,1,0,False,not_related_or_irrelevant,4542,0,OtherSite,81
503643323173969920,Sun Aug 24 20:41:40 +0000 2014,4488,868,True,86611,2428,3,1,1,False,sympathy_and_emotional_support,0,0,UnofficialApps,83
503643335857569792,Sun Aug 24 20:41:43 +0000 2014,2086,216,False,113609,2956,3,1,1,False,sympathy_and_emotional_support,0,0,UnofficialApps,86
503643338332180482,Sun Aug 24 20:41:43 +0000 2014,140,3376,False,15695,2649,0,0,0,False,not_related_or_irrelevant,0,0,MobileApp,86
503643339187830784,Sun Aug 24 20:41:44 +0000 2014,505,2642,True,7089,2318,1,1,1,False,not_related_or_irrelevant,25,0,Client Web,87
503643342585233408,Sun Aug 24 20:41:44 +0000 2014,658,188,False,11438,2586,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,87
503643345496047616,Sun Aug 24 20:41:45 +0000 2014,5298,209,False,37029,2882,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,88
503643352106299392,Sun Aug 24 20:41:47 +0000 2014,3366,472,False,125077,2609,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,90
503643360381652992,Sun Aug 24 20:41:49 +0000 2014,7159,7858,True,228020,2343,0,0,1,False,sympathy_and_emotional_support,0,0,OtherSite,92
503643362658750464,Sun Aug 24 20:41:49 +0000 2014,1334,1218,False,5693,2821,1,1,0,False,donation_needs_or_offers_or_volunteering_services,21,0,MobileApp,92
503643364827598848,Sun Aug 24 20:41:50 +0000 2014,397,153,True,2498,2059,1,3,1,False,not_related_or_irrelevant,1,0,MobileApp,93
503643365771341825,Sun Aug 24 20:41:50 +0000 2014,3021,298,False,87750,2272,3,1,1,False,sympathy_and_emotional_support,0,0,UnofficialApps,93
503643460797485056,Sun Aug 24 20:42:12 +0000 2014,3627,255,True,46379,2969,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,115
503643462370328576,Sun Aug 24 20:42:13 +0000 2014,9087,1880,False,346626,3015,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,116
503643463125311488,Sun Aug 24 20:42:13 +0000 2014,1119,265,False,35746,2141,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,116
503643466531102720,Sun Aug 24 20:42:14 +0000 2014,1105,499,False,45213,2856,3,1,1,False,not_related_or_irrelevant,0,0,UnofficialApps,117
503643467134664704,Sun Aug 24 20:42:14 +0000 2014,1819,176,True,3773,3369,0,1,0,False,donation_needs_or_offers_or_volunteering_services,0,0,Client Web,117
503643474122788864,Sun Aug 24 20:42:16 +0000 2014,680,214,False,8365,2154,3,1,1,False,sympathy_and_emotional_support,0,0,UnofficialApps,119
