TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,DeltaSeconds
503642976976113664,Sun Aug 24 20:40:17 +0000 2014,37,51,False,2475,1893,1,2,1,False,infrastructure_and_utilities_damage,79,0,0
503642977588494337,Sun Aug 24 20:40:17 +0000 2014,37319,1132,False,10569,3293,1,1,1,True,injured_or_dead_people,13,0,0
503642982189252608,Sun Aug 24 20:40:18 +0000 2014,534,1022,False,9023,1705,7,0,0,False,other_useful_information,0,0,1
503642984429395968,Sun Aug 24 20:40:19 +0000 2014,23,59,False,70,1409,0,1,1,False,other_useful_information,134,0,2
503642985167609856,Sun Aug 24 20:40:19 +0000 2014,1919,899,True,11178,3406,0,0,0,False,injured_or_dead_people,0,0,2
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,953,1123,True,31556,2093,0,1,1,False,sympathy_and_emotional_support,753,0,3
503642992541171712,Sun Aug 24 20:40:21 +0000 2014,154,348,True,1780,2059,0,1,0,False,infrastructure_and_utilities_damage,50,0,4
503642993677443072,Sun Aug 24 20:40:21 +0000 2014,1349,838,True,127297,2326,2,1,0,False,other_useful_information,4542,0,4
503642995879849985,Sun Aug 24 20:40:22 +0000 2014,430,192,False,15872,2537,1,0,0,False,other_useful_information,3009,0,5
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,2484,1160,False,71145,3583,0,1,1,False,not_related_or_irrelevant,96,0,5
503642998664884225,Sun Aug 24 20:40:22 +0000 2014,1335,1705,False,239654,1558,1,0,1,False,other_useful_information,0,0,5
503642998832242689,Sun Aug 24 20:40:22 +0000 2014,71,44,False,1739,1678,2,1,0,False,caution_and_advice,4542,0,5
503643000913006593,Sun Aug 24 20:40:23 +0000 2014,699,1841,True,46712,1446,2,1,0,False,other_useful_information,58,0,6
503643001185636352,Sun Aug 24 20:40:23 +0000 2014,7110,4571,False,41621,1733,4,0,1,False,infrastructure_and_utilities_damage,0,0,6
503643001722118144,Sun Aug 24 20:40:23 +0000 2014,1867,2252,False,9152,2732,2,1,0,False,other_useful_information,2,0,6
503643003508883458,Sun Aug 24 20:40:23 +0000 2014,105,264,False,4518,1414,0,1,1,False,not_related_or_irrelevant,101,0,6
503643004759195650,Sun Aug 24 20:40:24 +0000 2014,303,159,True,2636,1518,2,1,0,False,injured_or_dead_people,32,0,7
503643009817128960,Sun Aug 24 20:40:25 +0000 2014,25026,1011,False,39419,3642,0,2,1,False,injured_or_dead_people,1,0,8
503643010127499264,Sun Aug 24 20:40:25 +0000 2014,96,95,True,4341,2380,4,0,0,False,other_useful_information,0,0,8
503643011990183936,Sun Aug 24 20:40:25 +0000 2014,255,728,True,1370,1835,0,0,1,False,other_useful_information,0,0,8
503643013852463104,Sun Aug 24 20:40:26 +0000 2014,14432,14920,True,674294,2273,0,1,1,False,infrastructure_and_utilities_damage,36,0,9
503643016653860864,Sun Aug 24 20:40:27 +0000 2014,260,194,True,8255,2558,1,0,0,False,injured_or_dead_people,3009,0,10
503643018906570752,Sun Aug 24 20:40:27 +0000 2014,2019,463,True,131696,3378,0,2,0,False,other_useful_information,217,0,10
503643019653181440,Sun Aug 24 20:40:27 +0000 2014,167,190,True,883,1963,1,1,0,False,injured_or_dead_people,2,0,10
503643027076694016,Sun Aug 24 20:40:29 +0000 2014,1182,846,True,70594,2744,0,0,0,False,infrastructure_and_utilities_damage,0,0,12
503643028591218688,Sun Aug 24 20:40:29 +0000 2014,98,263,True,1186,3167,2,1,1,False,other_useful_information,29,0,12
503643029559734272,Sun Aug 24 20:40:30 +0000 2014,1851,741,True,6593,3031,1,7,0,False,other_useful_information,4,3,13
503643033016233985,Sun Aug 24 20:40:30 +0000 2014,3690,3093,True,13997,3368,1,1,1,False,infrastructure_and_utilities_damage,0,0,13
503643033280462848,Sun Aug 24 20:40:31 +0000 2014,2213,1898,False,155879,2442,1,2,0,False,other_useful_information,8,0,14
503643033905410048,Sun Aug 24 20:40:31 +0000 2014,3535,4334,True,72724,2643,0,1,0,False,other_useful_information,30,0,14
503643033909202947,Sun Aug 24 20:40:31 +0000 2014,964,1844,False,11080,2264,1,1,0,False,other_useful_information,34,0,14
503643036996227073,Sun Aug 24 20:40:31 +0000 2014,488,1611,False,6166,3067,0,1,0,False,other_useful_information,38,0,14
503643039764860932,Sun Aug 24 20:40:32 +0000 2014,104,36,False,2851,1653,4,0,1,False,injured_or_dead_people,0,0,15
503643040171700225,Sun Aug 24 20:40:32 +0000 2014,1322,566,True,175734,3251,2,1,1,False,caution_and_advice,32,0,15
503643042926977025,Sun Aug 24 20:40:33 +0000 2014,154,293,False,16636,2206,0,1,0,False,sympathy_and_emotional_support,18,0,16
503643044642848768,Sun Aug 24 20:40:33 +0000 2014,183,227,True,210,2070,0,1,0,False,other_useful_information,11,0,16
503643044827394048,Sun Aug 24 20:40:33 +0000 2014,342,813,False,8757,1879,2,2,0,False,other_useful_information,0,0,16
503643045305516033,Sun Aug 24 20:40:33 +0000 2014,809,1115,True,5373,2104,0,1,1,False,infrastructure_and_utilities_damage,8,0,16
503643045867188224,Sun Aug 24 20:40:34 +0000 2014,1641,2058,False,240871,2270,0,1,0,False,not_related_or_irrelevant,435,0,17
503643050128592896,Sun Aug 24 20:40:35 +0000 2014,660,258,True,10034,4087,1,0,0,False,injured_or_dead_people,0,0,18
503643054327484418,Sun Aug 24 20:40:36 +0000 2014,810,646,True,91970,2304,1,1,1,False,injured_or_dead_people,671,0,19
503643056629768192,Sun Aug 24 20:40:36 +0000 2014,54,133,True,2882,2131,1,1,1,False,other_useful_information,31,0,19
503643062715703296,Sun Aug 24 20:40:38 +0000 2014,361,340,True,2502,1941,2,1,0,False,other_useful_information,4542,0,21
503643062913212416,Sun Aug 24 20:40:38 +0000 2014,2670,1781,False,811717,2153,0,0,1,False,injured_or_dead_people,0,0,21
503643063450083328,Sun Aug 24 20:40:38 +0000 2014,672,2368,True,691,1445,1,2,0,False,injured_or_dead_people,17,0,21
503643063529398272,Sun Aug 24 20:40:38 +0000 2014,48,204,True,173,3385,0,0,1,False,other_useful_information,0,0,21
503643073335685120,Sun Aug 24 20:40:40 +0000 2014,849,232,False,42880,2521,0,0,0,False,infrastructure_and_utilities_damage,5,0,23
503643077836546048,Sun Aug 24 20:40:41 +0000 2014,2091,1111,True,4866,2905,0,1,1,True,infrastructure_and_utilities_damage,1,1,24
503643080005013505,Sun Aug 24 20:40:42 +0000 2014,4689,4137,False,58720,1597,0,1,1,False,other_useful_information,0,0,25
503643081066184704,Sun Aug 24 20:40:42 +0000 2014,343,57,False,4661,2408,0,0,1,False,sympathy_and_emotional_support,0,0,25
503643081871089664,Sun Aug 24 20:40:42 +0000 2014,277,193,True,48583,2514,0,1,0,False,other_useful_information,3,0,25
503643093589958657,Sun Aug 24 20:40:45 +0000 2014,255,186,False,14048,3858,0,0,0,False,other_useful_information,0,0,28
503643098891575296,Sun Aug 24 20:40:46 +0000 2014,1474,1523,True,50953,3320,0,0,1,False,other_useful_information,0,0,29
503643104709066752,Sun Aug 24 20:40:48 +0000 2014,3,0,False,8030,1493,0,0,1,False,other_useful_information,0,0,31
503643105338216448,Sun Aug 24 20:40:48 +0000 2014,2128,1902,True,22511,2645,1,4,1,False,infrastructure_and_utilities_damage,8,0,31
503643105485004800,Sun Aug 24 20:40:48 +0000 2014,3,0,False,8030,1493,0,0,1,False,injured_or_dead_people,0,0,31
503643109620588544,Sun Aug 24 20:40:49 +0000 2014,23,168,False,936,2619,0,3,0,False,injured_or_dead_people,58,0,32
503643112363671552,Sun Aug 24 20:40:49 +0000 2014,2136,1274,True,3212,4059,0,1,0,False,infrastructure_and_utilities_damage,18,0,32
503643117308764160,Sun Aug 24 20:40:51 +0000 2014,17759,18143,True,83376,2246,1,1,1,False,other_useful_information,40,0,34
