TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,DeltaSeconds
503642976976113664,Sun Aug 24 20:40:17 +0000 2014,37,51,False,2475,1897,1,2,1,False,infrastructure_and_utilities_damage,79,0,MobileApp,0
503642977588494337,Sun Aug 24 20:40:17 +0000 2014,37328,1132,False,10587,3297,1,1,1,True,injured_or_dead_people,13,0,MobileApp,0
503642982189252608,Sun Aug 24 20:40:18 +0000 2014,530,1022,False,9039,1709,7,0,0,False,other_useful_information,0,0,MobileApp,1
503642984429395968,Sun Aug 24 20:40:19 +0000 2014,23,59,False,72,1413,0,1,1,False,other_useful_information,135,0,Client Web,2
503642985167609856,Sun Aug 24 20:40:19 +0000 2014,1918,899,True,11190,3410,0,0,0,False,injured_or_dead_people,0,0,MobileApp,2
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,957,1124,True,31592,2097,0,1,1,False,sympathy_and_emotional_support,753,0,MobileApp,3
503642992541171712,Sun Aug 24 20:40:21 +0000 2014,154,348,True,1780,2063,0,1,0,False,infrastructure_and_utilities_damage,50,0,Tablet,4
503642993677443072,Sun Aug 24 20:40:21 +0000 2014,1347,839,True,127319,2330,2,1,0,False,other_useful_information,4542,0,MobileApp,4
503642995879849985,Sun Aug 24 20:40:22 +0000 2014,431,192,False,15876,2541,1,0,0,False,other_useful_information,3007,0,MobileApp,5
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,2482,1160,False,71166,3587,0,1,1,False,not_related_or_irrelevant,96,0,Client Web,5
503642998664884225,Sun Aug 24 20:40:22 +0000 2014,1332,1701,False,239654,1561,1,0,1,False,other_useful_information,0,0,OtherSite,5
503642998832242689,Sun Aug 24 20:40:22 +0000 2014,71,43,False,1739,1682,2,1,0,False,caution_and_advice,4542,0,MobileApp,5
503643000913006593,Sun Aug 24 20:40:23 +0000 2014,699,1840,True,46710,1450,2,1,0,False,other_useful_information,58,0,MobileApp,6
503643001185636352,Sun Aug 24 20:40:23 +0000 2014,7121,4574,False,41764,1737,4,0,1,False,infrastructure_and_utilities_damage,0,0,UnofficialApps,6
503643001722118144,Sun Aug 24 20:40:23 +0000 2014,1866,2252,False,9152,2736,2,1,0,False,other_useful_information,2,0,Tablet,6
503643003508883458,Sun Aug 24 20:40:23 +0000 2014,105,264,False,4518,1418,0,1,1,False,not_related_or_irrelevant,101,0,MobileApp,6
503643004759195650,Sun Aug 24 20:40:24 +0000 2014,304,159,True,2636,1522,2,1,0,False,injured_or_dead_people,32,0,UnofficialApps,7
503643009817128960,Sun Aug 24 20:40:25 +0000 2014,25012,1011,False,39498,3646,0,2,1,False,injured_or_dead_people,1,0,MobileApp,8
503643010127499264,Sun Aug 24 20:40:25 +0000 2014,96,95,True,4341,2384,4,0,0,False,other_useful_information,0,0,MobileApp,8
503643011990183936,Sun Aug 24 20:40:25 +0000 2014,253,728,True,1370,1839,0,0,1,False,other_useful_information,0,0,Tablet,8
503643013852463104,Sun Aug 24 20:40:26 +0000 2014,14459,14943,True,675334,2277,0,1,1,False,infrastructure_and_utilities_damage,36,0,Client Web,9
503643016653860864,Sun Aug 24 20:40:27 +0000 2014,260,194,True,8255,2562,1,0,0,False,injured_or_dead_people,3007,0,MobileApp,10
503643018906570752,Sun Aug 24 20:40:27 +0000 2014,2017,462,True,132173,3382,0,2,0,False,other_useful_information,217,0,Tablet,10
503643019653181440,Sun Aug 24 20:40:27 +0000 2014,167,190,True,883,1967,1,1,0,False,injured_or_dead_people,2,0,MobileApp,10
503643027076694016,Sun Aug 24 20:40:29 +0000 2014,1183,853,True,70692,2748,0,0,0,False,infrastructure_and_utilities_damage,0,0,Client Web,12
503643028591218688,Sun Aug 24 20:40:29 +0000 2014,98,263,True,1186,3171,2,1,1,False,other_useful_information,29,0,MobileApp,12
503643029559734272,Sun Aug 24 20:40:30 +0000 2014,1848,741,True,6595,3035,1,7,0,False,other_useful_information,4,3,Client Web,13
503643033016233985,Sun Aug 24 20:40:30 +0000 2014,3692,3093,True,14019,3372,1,1,1,False,infrastructure_and_utilities_damage,0,0,OtherSite,13
503643033280462848,Sun Aug 24 20:40:31 +0000 2014,2215,1907,False,156089,2446,1,2,0,False,other_useful_information,8,0,Client Web,14
503643033905410048,Sun Aug 24 20:40:31 +0000 2014,3537,4343,True,72744,2647,0,1,0,False,other_useful_information,30,0,MobileApp,14
503643033909202947,Sun Aug 24 20:40:31 +0000 2014,964,1844,False,11075,2268,1,1,0,False,other_useful_information,34,0,MobileApp,14
503643036996227073,Sun Aug 24 20:40:31 +0000 2014,488,1614,False,6183,3071,0,1,0,False,other_useful_information,38,0,MobileApp,14
503643039764860932,Sun Aug 24 20:40:32 +0000 2014,104,36,False,2851,1657,4,0,1,False,injured_or_dead_people,0,0,OtherSite,15
503643040171700225,Sun Aug 24 20:40:32 +0000 2014,1321,567,True,175795,3255,2,1,1,False,caution_and_advice,32,0,Tweetbot,15
503643042926977025,Sun Aug 24 20:40:33 +0000 2014,154,293,False,16636,2210,0,1,0,False,sympathy_and_emotional_support,18,0,MobileApp,16
503643044642848768,Sun Aug 24 20:40:33 +0000 2014,183,227,True,210,2074,0,1,0,False,other_useful_information,11,0,Client Web,16
503643044827394048,Sun Aug 24 20:40:33 +0000 2014,344,814,False,8775,1883,2,2,0,False,other_useful_information,0,0,MobileApp,16
503643045305516033,Sun Aug 24 20:40:33 +0000 2014,811,1115,True,5373,2107,0,1,1,False,infrastructure_and_utilities_damage,8,0,MobileApp,16
503643045867188224,Sun Aug 24 20:40:34 +0000 2014,1642,2058,False,240870,2274,0,1,0,False,not_related_or_irrelevant,435,0,Client Web,17
503643050128592896,Sun Aug 24 20:40:35 +0000 2014,660,258,True,10035,4090,1,0,0,False,injured_or_dead_people,0,0,Tweetbot,18
503643054327484418,Sun Aug 24 20:40:36 +0000 2014,810,649,True,92044,2308,1,1,1,False,injured_or_dead_people,670,0,Client Web,19
503643056629768192,Sun Aug 24 20:40:36 +0000 2014,55,133,True,2882,2135,1,1,1,False,other_useful_information,31,0,MobileApp,19
503643062715703296,Sun Aug 24 20:40:38 +0000 2014,361,340,True,2505,1945,2,1,0,False,other_useful_information,4542,0,MobileApp,21
503643062913212416,Sun Aug 24 20:40:38 +0000 2014,2671,1781,False,812278,2157,0,0,1,False,injured_or_dead_people,0,0,OtherSite,21
503643063450083328,Sun Aug 24 20:40:38 +0000 2014,669,2368,True,691,1449,1,2,0,False,injured_or_dead_people,17,0,Client Web,21
503643063529398272,Sun Aug 24 20:40:38 +0000 2014,48,203,True,173,3389,0,0,1,False,other_useful_information,0,0,Developer,21
503643073335685120,Sun Aug 24 20:40:40 +0000 2014,848,232,False,42886,2525,0,0,0,False,infrastructure_and_utilities_damage,5,0,OtherSite,23
503643077836546048,Sun Aug 24 20:40:41 +0000 2014,2091,1111,True,4867,2909,0,1,1,True,infrastructure_and_utilities_damage,1,1,OtherSite,24
503643080005013505,Sun Aug 24 20:40:42 +0000 2014,4689,4130,False,58769,1601,0,1,1,False,other_useful_information,0,0,OtherSite,25
503643081066184704,Sun Aug 24 20:40:42 +0000 2014,345,57,False,4662,2412,0,0,1,False,sympathy_and_emotional_support,0,0,Facebook,25
503643081871089664,Sun Aug 24 20:40:42 +0000 2014,277,193,True,48610,2518,0,1,0,False,other_useful_information,3,0,MobileApp,25
503643093589958657,Sun Aug 24 20:40:45 +0000 2014,255,186,False,14095,3862,0,0,0,False,other_useful_information,0,0,Facebook,28
503643098891575296,Sun Aug 24 20:40:46 +0000 2014,1479,1525,True,51091,3324,0,0,1,False,other_useful_information,0,0,OtherSite,29
503643104709066752,Sun Aug 24 20:40:48 +0000 2014,3,0,False,8030,1496,0,0,1,False,other_useful_information,0,0,Twitterfeed,31
503643105338216448,Sun Aug 24 20:40:48 +0000 2014,2127,1903,True,22528,2649,1,4,1,False,infrastructure_and_utilities_damage,8,0,MobileApp,31
503643105485004800,Sun Aug 24 20:40:48 +0000 2014,3,0,False,8030,1496,0,0,1,False,injured_or_dead_people,0,0,Twitterfeed,31
503643109620588544,Sun Aug 24 20:40:49 +0000 2014,23,168,False,936,2623,0,3,0,False,injured_or_dead_people,58,0,MobileApp,32
503643112363671552,Sun Aug 24 20:40:49 +0000 2014,2136,1274,True,3213,4063,0,1,0,False,infrastructure_and_utilities_damage,18,0,Client Web,32
503643117308764160,Sun Aug 24 20:40:51 +0000 2014,17738,18299,True,83410,2250,1,1,1,False,other_useful_information,40,0,Tablet,34
503643124787609600,Sun Aug 24 20:40:52 +0000 2014,1488,750,True,100637,2419,1,0,0,False,donation_needs_or_offers_or_volunteering_services,3007,0,MobileApp,35
503643126141947904,Sun Aug 24 20:40:53 +0000 2014,136,746,False,17733,2783,1,1,1,False,other_useful_information,11,0,Client Web,36
503643126683009025,Sun Aug 24 20:40:53 +0000 2014,3818,5070,False,28987,3304,1,3,1,True,not_related_or_irrelevant,3,0,MobileApp,36
503643127132221440,Sun Aug 24 20:40:53 +0000 2014,2091,1111,True,4867,2909,0,1,1,True,other_useful_information,2,1,OtherSite,36
503643127253450753,Sun Aug 24 20:40:53 +0000 2014,29,128,False,1188,2223,0,1,1,False,other_useful_information,0,0,Developer,36
503643128931565568,Sun Aug 24 20:40:53 +0000 2014,3451,1233,True,12249,2671,3,2,0,True,other_useful_information,2,0,Client Web,36
503643128994086912,Sun Aug 24 20:40:53 +0000 2014,917,700,True,34920,2651,0,1,1,False,other_useful_information,9,0,MobileApp,36
503643130923466753,Sun Aug 24 20:40:54 +0000 2014,46,77,True,4180,2365,2,1,0,False,other_useful_information,23,0,MobileApp,37
503643131624292352,Sun Aug 24 20:40:54 +0000 2014,194,14,False,654793,1570,0,0,1,False,injured_or_dead_people,0,0,OtherSite,37
503643136636506112,Sun Aug 24 20:40:55 +0000 2014,194,14,False,654793,1570,0,0,1,False,caution_and_advice,0,0,OtherSite,38
503643138968133632,Sun Aug 24 20:40:56 +0000 2014,85,336,False,1719,1440,2,2,0,False,other_useful_information,0,0,Client Web,39
503643144148099072,Sun Aug 24 20:40:57 +0000 2014,706,297,False,24355,2781,2,1,1,False,infrastructure_and_utilities_damage,29,0,MobileApp,40
503643146115223552,Sun Aug 24 20:40:57 +0000 2014,17738,18299,True,83410,2250,1,1,1,False,infrastructure_and_utilities_damage,2,0,Tablet,40
503643149374205952,Sun Aug 24 20:40:58 +0000 2014,47,31,False,289,2238,0,2,1,False,other_useful_information,0,0,Developer,41
503643151970869249,Sun Aug 24 20:40:59 +0000 2014,219,186,False,23185,2628,0,1,0,False,other_useful_information,661,0,MobileApp,42
503643154797854720,Sun Aug 24 20:41:00 +0000 2014,1693,4265,True,26964,1964,1,1,0,False,other_useful_information,74,0,Tablet,43
503643156358115328,Sun Aug 24 20:41:00 +0000 2014,2982,715,True,5137,3314,2,1,0,False,infrastructure_and_utilities_damage,4542,0,MobileApp,43
503643156668096513,Sun Aug 24 20:41:00 +0000 2014,555,654,False,11182,3284,2,1,1,False,infrastructure_and_utilities_damage,4,0,Tweetbot,43
503643156941111296,Sun Aug 24 20:41:00 +0000 2014,6888,5877,False,101660,4036,0,2,0,False,other_useful_information,26,0,Client Web,43
503643158580690944,Sun Aug 24 20:41:00 +0000 2014,774,3215,True,101428,3364,0,1,1,False,not_related_or_irrelevant,141,0,MobileApp,43
503643158748880896,Sun Aug 24 20:41:00 +0000 2014,238,213,True,21340,2481,2,1,0,False,injured_or_dead_people,4542,0,MobileApp,43
503643159088218112,Sun Aug 24 20:41:01 +0000 2014,322,555,False,6941,3044,3,1,0,False,other_useful_information,3,0,OtherSite,44
503643159239622656,Sun Aug 24 20:41:01 +0000 2014,891,863,True,13436,1381,0,1,1,False,infrastructure_and_utilities_damage,753,0,Client Web,44
503643162515349505,Sun Aug 24 20:41:01 +0000 2014,13420,406,False,285405,2912,1,1,0,False,other_useful_information,1,0,Client Web,44
503643163857526784,Sun Aug 24 20:41:02 +0000 2014,446,415,False,5468,2300,0,1,0,False,other_useful_information,30,0,MobileApp,45
503643164834803712,Sun Aug 24 20:41:02 +0000 2014,250,960,False,3702,3152,0,1,0,False,sympathy_and_emotional_support,41,0,Client Web,45
503643166453825537,Sun Aug 24 20:41:02 +0000 2014,187,69,False,23846,3585,2,1,1,False,donation_needs_or_offers_or_volunteering_services,172,0,Tablet,45
503643168324071424,Sun Aug 24 20:41:03 +0000 2014,1197,1019,True,2182,3309,1,1,0,False,infrastructure_and_utilities_damage,42,0,MobileApp,46
503643168941015040,Sun Aug 24 20:41:03 +0000 2014,4669,1481,False,51627,3372,5,0,0,False,other_useful_information,0,0,Client Web,46
503643169402003456,Sun Aug 24 20:41:03 +0000 2014,233,176,True,3417,1970,1,1,1,False,injured_or_dead_people,31,0,MobileApp,46
503643169524047873,Sun Aug 24 20:41:03 +0000 2014,163,509,False,2935,2943,0,1,0,False,injured_or_dead_people,19,0,MobileApp,46
503643171327602689,Sun Aug 24 20:41:03 +0000 2014,34,274,True,382,2293,0,1,1,False,not_related_or_irrelevant,0,0,MobileApp,46
503643171352739842,Sun Aug 24 20:41:03 +0000 2014,1698,5000,False,116136,1841,1,2,0,False,other_useful_information,44,0,MobileApp,46
503643171775983616,Sun Aug 24 20:41:04 +0000 2014,178,419,True,2813,2038,1,2,0,False,sympathy_and_emotional_support,17,0,MobileApp,47
503643175550861314,Sun Aug 24 20:41:05 +0000 2014,271,371,True,41473,2882,1,1,1,False,other_useful_information,10,0,MobileApp,48
503643176272265216,Sun Aug 24 20:41:05 +0000 2014,296731,948,False,122149,3940,0,0,1,True,other_useful_information,14,1,TweetDeck,48
503643180412436480,Sun Aug 24 20:41:06 +0000 2014,269,431,True,12031,3456,0,3,0,False,other_useful_information,1,0,Client Web,49
503643180508909570,Sun Aug 24 20:41:06 +0000 2014,132,101,True,9053,3695,1,2,1,False,other_useful_information,34,0,UnofficialApps,49
