tweet_id,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_text
'451187618697736192',871686722,False,finalized,3,1/30/2016 16:12:38,sympathy_and_emotional_support,0.6486,,"#PrayForChile They've prayed for us, Philippines because of the typhoon yolanda... It's time to pray for them.. xxx"
'451187620945887232',871686723,False,finalized,3,1/30/2016 16:28:16,not_related_or_irrelevant,1.0,,"I hope that @justinbieber will follow me.I'm still waiting for this.I would be very happy if you make it happen,really.I love you babeä_¥Ÿ x57"
'451187621843070976',871686724,False,finalized,4,1/30/2016 16:10:14,sympathy_and_emotional_support,1.0,,RT @AvrilLavigne: Thinking of everyone in Chile today. Hope all of you are safe! #prayforchile #ChileEarthquake
'451187631507132416',871686733,False,finalized,6,1/30/2016 16:19:59,not_related_or_irrelevant,1.0,,RT @freddiearomerop: World laugh of Peruvian Army http://t.co/YvnKMEra2n #Windsor #Essex #Hounslow #Nunavut #latam #Chile #England #Europe äó_
'451187637437476865',871686735,False,finalized,5,1/30/2016 16:08:27,not_related_or_irrelevant,0.7895,,Hard to believe that the Peru trip is almost over. I am so proud of the seniors in my family group - they did such a great job this week!
'451187637463031808',871686736,False,finalized,3,1/30/2016 16:10:13,not_related_or_irrelevant,1.0,,@nashtonkitty our little weirdo #lovehim http://t.co/sdW66s7ryo
'451187638515421184',871686737,False,finalized,4,1/30/2016 16:14:51,not_related_or_irrelevant,0.7513,,RT @CageTheElephant: Who can resist the classic J champ thumbs up pic!  #argentina #chile #cagetheelephant http://t.co/1Low8hjXQt
'451187641808330752',871686739,False,finalized,4,1/30/2016 16:16:23,sympathy_and_emotional_support,0.7496,,RT @eyprelrows: #PrayforSouthKorea #PrayforChile #PrayforIndonesia #PrayforNepal #PrayforUkraine #PrayforFlores  #PrayforTheWorld :( so manäó_
'451187644048084992',871686741,False,finalized,3,1/30/2016 16:11:34,sympathy_and_emotional_support,1.0,,RT @dwaynereywinson: Prayers to the people of Chile. May God grant you all peace. à__F #PrayForChile #IndonesianRespect
'451187646602047488',871686743,False,finalized,6,1/30/2016 16:19:59,not_related_or_irrelevant,1.0,,Let's right Armando Cristian Perez
'451187647226998784',871686744,False,finalized,3,1/30/2016 16:28:16,sympathy_and_emotional_support,1.0,,"RT @aquaticsPH: Let us pause for a while and pray for our friends who lived in Chile, magnitude of 8.2 earthquake has struck them. #Prayforäó_"
'451187650439815168',871686746,False,finalized,3,1/30/2016 16:28:16,sympathy_and_emotional_support,1.0,,RT @DemiLovatoFans: RT @ddlovato Praying for Chile... My heart is with you all right now _ôÍ„ / #PrayForChile
'451187658052476928',871686749,False,finalized,3,1/30/2016 16:10:13,sympathy_and_emotional_support,1.0,,RT @AyyTangaLangDre: Earthquakes can't shake us. Let's all offer a prayer for Chile. #PrayForChile
'451187659151400961',871686750,False,finalized,3,1/30/2016 16:10:54,sympathy_and_emotional_support,0.6757,,#PrayForChile... it's hard to cope after the earthquake esp when you know aftershocks will go on for days or even months.
'451187659709235200',871686751,False,finalized,3,1/30/2016 16:10:54,not_related_or_irrelevant,1.0,,I'm belieber since 2009 and I will be forever. You're the Best idol I've ever had in my life :) i Love You So Much @justinbieber x11
'451187660858462208',871686752,False,finalized,4,1/30/2016 16:16:23,not_related_or_irrelevant,0.5217,,äóì@QueenNigger: Chille's... I never liked dat restaurant... i hope dha cookers and dha servers are okay doe! #PrayForChile #ChileEarthquakeäó
'451187668710617088',871686753,False,finalized,4,1/30/2016 16:16:23,sympathy_and_emotional_support,1.0,,"RT @MamaGH: Pray for Chile, and earthquake disaster. à__F"
'451187669251280896',871686754,False,finalized,4,1/30/2016 16:10:14,sympathy_and_emotional_support,1.0,,RT @KennyHamilton: #PrayforChile may God continue to be with you all.
'451187673521483776',871686759,False,finalized,5,1/30/2016 16:08:27,sympathy_and_emotional_support,1.0,,RT @offscottfreee: Hearts going out to those suffering in the wake of the earthquake in Chile #PrayForChile
'451187673693044736',871686760,False,finalized,6,1/30/2016 16:19:59,not_related_or_irrelevant,0.8358,,RT @philstockworld: News You Can Use from Philstockworld #HFT #ChileEarthquake $EWJ #Japan #China $SPY $PCG $MNKD $GOOG $FB -- http://t.co/äó_
'451187675899240448',871686763,False,finalized,3,1/30/2016 16:28:16,sympathy_and_emotional_support,1.0,,"#M5.5  #45km WNW of #Iquique, #Chile #11April2014 12:00:51 UTC #PrayersForPapuaNewGuinea #PrayersForChile #USGS #NOAA http://t.co/QHlTdMDI2V"
'451187684237910017',871686769,False,finalized,4,1/30/2016 16:14:51,sympathy_and_emotional_support,0.7513,,@selenagomez #PrayForChile #chileneedyou #ChileEarthquake please we need you selena..
'451187685307068416',871686771,False,finalized,6,1/30/2016 16:19:59,sympathy_and_emotional_support,0.6716,,RT @kendrick38: #PrayforChile &amp; everyone effected by the 8.2 magnitude earthquake and/or tsunami (&amp; the 300 prisoners who escaped à_£3) à__Fà__F
'451187686075039744',871686772,False,finalized,5,1/30/2016 16:08:27,sympathy_and_emotional_support,1.0,,"Oh no, terrible earthquake last night in Chile. #PrayForChile à__F"
'451187698309406720',871686777,False,finalized,5,1/30/2016 16:08:27,sympathy_and_emotional_support,0.5965,,"RT @TheMindBlowing: An 8.0 magnitude earthquake hit Chile. Tsunami warning issued for Chile, Peru, and Ecuador. Let's pray for them _ô»: httpäó_"
'451187699374780416',871686778,False,finalized,3,1/30/2016 16:10:13,sympathy_and_emotional_support,1.0,,RT @linbea945: Just saw Jype's boys had good performance in Japan M!countdown n we thanks God! Also pray for Chile good recover from earthqäó_
'451187700436324352',871686779,False,finalized,4,1/30/2016 16:10:14,sympathy_and_emotional_support,0.7872,,RT @tiaannn_: #PrayForChile  We're with u #FuerzaChile äì_
'451187710049652736',871686785,False,finalized,3,1/30/2016 16:42:44,sympathy_and_emotional_support,1.0,,"RT @adri9234: My thoughts and prayers go out to those affected by the earthquake in Chile, and those affected by the shooting today..."
'451187710854967296',871686787,False,finalized,5,1/30/2016 16:08:27,sympathy_and_emotional_support,1.0,,RT @dwiyantiptr: Stay safe guys! Our prayers go out with you all. #PrayForChile http://t.co/FL3bUWyAV6
'451187717183795200',871686790,False,finalized,3,1/30/2016 16:42:44,sympathy_and_emotional_support,1.0,,"Chile got a 8.2 earthquake , prayers go out to them _ô»ë_ô»"
'451187719767474176',871686793,False,finalized,3,1/30/2016 16:10:54,sympathy_and_emotional_support,0.6757,,RT @ChanYeollin: #PRAYFORMH370  #PRayForChile  #PrayForSinabung  #PrayForIndonesia  #PrayForNigeria #PrayForSouthKorea   This _ôïÊ is sad. It äó_
'451187722493779970',871686794,False,finalized,4,1/30/2016 16:10:42,not_related_or_irrelevant,1.0,,Chancheando! #instafood #instachile #chile #laserena http://t.co/wJPUfWY52Y
'451187726008991744',871686799,False,finalized,4,1/30/2016 16:10:14,sympathy_and_emotional_support,1.0,,"RT @InfiniteCrewINA: #PrayForChile #PrayForSouthKorea #PrayForIndonesia #PrayForNigeria  Whatever your religions are, lets keep praying. htäó_"
'451187726402867200',871686802,False,finalized,3,1/30/2016 16:12:38,donation_needs_or_offers_or_volunteering_services,1.0,,RT @TheTweetOfGod: #PrayForChile. Or help them. One or the other.
'451187729842581504',871686805,False,finalized,3,1/30/2016 16:12:38,not_related_or_irrelevant,1.0,,@justinbieber see me please ! its my dream
'451187729976397824',871686806,False,finalized,4,1/30/2016 16:10:42,sympathy_and_emotional_support,1.0,,Chile have a 8.2 magnitude earthquake. My prayers to the family at there !
'451187732866682880',871686808,False,finalized,4,1/30/2016 16:16:23,sympathy_and_emotional_support,1.0,,"Prayers go to Chile, hoping everyone is okay &amp; there's no more fatalities _ôÖî #PrayForChile_ô»"
'451187734455926784',871686811,False,finalized,3,1/30/2016 16:11:34,sympathy_and_emotional_support,1.0,,Let's pray for Chile. I wish no one die :( #PrayForChile
'451187734736928768',871686813,False,finalized,3,1/30/2016 17:23:59,sympathy_and_emotional_support,0.665,,RT @CamilaMyidol: #PrayForChile that earthquake caused a tsunami
'451187736808943617',871686815,False,finalized,4,1/30/2016 16:10:14,sympathy_and_emotional_support,1.0,,RT @thirdy_reyes: Don't just tweet and start praying for Chile _ôÖˆ #PrayForChile
'451187736989278208',871686816,False,finalized,4,1/30/2016 16:10:42,sympathy_and_emotional_support,0.4792,,RT @yeah_choihansol: #PrayForMH370 #PrayForChile #PrayForSouthKorea #PrayForSinabung #PrayForIndonesia #PrayForNigeria  this is too much _ôÖ_
'451187741326192640',871686821,False,finalized,3,1/30/2016 16:12:38,sympathy_and_emotional_support,1.0,,RT @MrSwift99: Well I just heard about Chile having a massive earthquake à_ç4 i felt sorry for you guys... #prayforchile
'451187741754417153',871686822,False,finalized,3,1/30/2016 18:28:39,sympathy_and_emotional_support,1.0,,RT @Jbreezyy69: My heart and prayers go out to Chile #PrayForChile
'451187744782315520',871686828,False,finalized,3,1/30/2016 18:08:27,not_related_or_irrelevant,1.0,,@zaynmalik @Harry_Styles @Louis_Tomlinson @Real_Liam_Payne @NiallOfficial Whatever happens I'll always  be with youä»« 33
'451187749077663744',871686832,False,finalized,3,1/30/2016 17:52:21,not_related_or_irrelevant,1.0,,RT @Avigain10: 70 days till the World Cup. Where we will all be rooting for different teams _ôÖ_ #Spain #Germany #Chile #Argentina #Brazil
'451187753904910336',871686836,False,finalized,3,1/30/2016 18:16:07,sympathy_and_emotional_support,1.0,,Lord God help them for their needs. #PrayForChile à_çEà_çEà_çE
'451187754693443584',871686838,False,finalized,3,1/30/2016 17:58:17,not_related_or_irrelevant,0.6667,,"RT @LuisAndresHenao: For great @AP_Images of #Chile #quake by colleagues, including Rodrigo Abd, @luishidalgo91 : http://t.co/JV3eJUDqX7 htäó_"
'451187757524987904',871686842,False,finalized,3,1/30/2016 18:08:27,sympathy_and_emotional_support,1.0,,RT @MichellePhan: #Chile I'm praying for you. You've been getting so many earthquakes. Please stay safe! My heart is with you. #PrayForChile
'451187760670326784',871686843,False,finalized,3,1/30/2016 17:58:17,not_related_or_irrelevant,1.0,,Use code surfchck to save 20% on ordering from FLEUROP .com #PrayForChile
'451187762436116481',871686846,False,finalized,3,1/30/2016 17:56:55,sympathy_and_emotional_support,0.6471,,RT @WVYouthGlobal: Teenagers affected by the earthquake in Chile were prepared to respond thanks to training by @WorldVision http://t.co/VAäó_
'451187762603900928',871686847,False,finalized,3,1/30/2016 18:20:05,sympathy_and_emotional_support,1.0,,@_DanialMalik plz  #PrayForChile we're so scared:(
'451187764261040128',871686849,False,finalized,3,1/30/2016 17:55:04,sympathy_and_emotional_support,1.0,,"RT @MaevCrosseyed: Oh My God. What a destruction. Hmp, Let's all pray for Chile #PrayForChile http://t.co/Vovezhf4xz"
'451187767507447808',871686851,False,finalized,3,1/30/2016 17:57:04,not_related_or_irrelevant,0.6571,,Was there an Earthquake in Chile or something recently?
'451187774557650944',871686859,False,finalized,3,1/30/2016 18:00:54,sympathy_and_emotional_support,1.0,,"Thanks for all the prayers, we really appreciate it wholeheartedly #PrayForChile"
'451187774771953664',871686860,False,finalized,3,1/30/2016 18:07:32,sympathy_and_emotional_support,0.6842,,RT @piero_barone: I'm with you! #Praying #for #Chile http://t.co/4166L1dlRN
