TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,DeltaSeconds
451187618697736192,Wed Apr 02 02:41:25 +0000 2014,515,241,True,8624,3027,1,1,1,False,sympathy_and_emotional_support,281,0,0
451187621843070976,Wed Apr 02 02:41:26 +0000 2014,122,474,False,856,2526,2,2,1,False,sympathy_and_emotional_support,149,0,1
451187621901791232,Wed Apr 02 02:41:26 +0000 2014,1569,329,False,655,1777,2,2,1,False,infrastructure_and_utilities_damage,149,0,1
451187622077947904,Wed Apr 02 02:41:26 +0000 2014,10557,2663,True,31429,3303,2,2,1,True,other_useful_information,1,0,1
451187623252336640,Wed Apr 02 02:41:26 +0000 2014,101,435,True,169,1539,3,1,0,False,other_useful_information,14,0,1
451187625114611712,Wed Apr 02 02:41:27 +0000 2014,2309,2836,False,135521,3359,1,1,1,False,injured_or_dead_people,281,0,2
451187630277812224,Wed Apr 02 02:41:28 +0000 2014,1449,422,False,2729,3243,2,2,1,False,other_useful_information,149,0,3
451187630542032897,Wed Apr 02 02:41:28 +0000 2014,164,811,True,6099,2529,3,0,0,False,caution_and_advice,1,1,3
451187635709440000,Wed Apr 02 02:41:29 +0000 2014,422,831,False,39360,2922,1,3,0,False,other_useful_information,35,0,4
451187637437476865,Wed Apr 02 02:41:30 +0000 2014,1049,2115,False,14135,3382,2,2,1,False,not_related_or_irrelevant,149,0,5
451187637463031808,Wed Apr 02 02:41:30 +0000 2014,1220,1228,False,214862,2492,2,2,0,False,not_related_or_irrelevant,148,0,5
451187640490942464,Wed Apr 02 02:41:30 +0000 2014,745,655,False,20449,2979,5,1,0,False,other_useful_information,12,0,5
451187646602047488,Wed Apr 02 02:41:32 +0000 2014,6729,21,False,421979,2682,1,1,1,False,not_related_or_irrelevant,1,0,7
451187647226998784,Wed Apr 02 02:41:32 +0000 2014,183,52,True,1291,3007,2,2,1,False,sympathy_and_emotional_support,149,0,7
451187650439815168,Wed Apr 02 02:41:33 +0000 2014,540,296,True,28948,3115,1,1,0,False,sympathy_and_emotional_support,34,0,8
451187651509755904,Wed Apr 02 02:41:33 +0000 2014,196,87,True,28042,2725,1,1,1,False,injured_or_dead_people,281,0,8
451187656257708032,Wed Apr 02 02:41:35 +0000 2014,533,920,False,2191,2044,2,2,1,False,other_useful_information,149,0,10
451187659151400961,Wed Apr 02 02:41:35 +0000 2014,234,368,True,8876,2264,1,1,1,False,sympathy_and_emotional_support,281,0,10
451187659709235200,Wed Apr 02 02:41:35 +0000 2014,118,482,False,2345,2566,1,1,1,False,not_related_or_irrelevant,59,0,10
451187660858462208,Wed Apr 02 02:41:35 +0000 2014,1368,1884,False,4703,2881,1,1,0,False,not_related_or_irrelevant,68,0,10
451187669251280896,Wed Apr 02 02:41:37 +0000 2014,1443,1515,False,17082,2494,2,2,1,False,sympathy_and_emotional_support,149,0,12
451187669302009857,Wed Apr 02 02:41:37 +0000 2014,158,201,False,15626,1666,2,2,0,False,other_useful_information,148,0,12
451187669851467777,Wed Apr 02 02:41:37 +0000 2014,557,1960,False,67628,3132,2,0,1,False,infrastructure_and_utilities_damage,0,0,12
451187671235584000,Wed Apr 02 02:41:38 +0000 2014,13974,85,False,23694,3258,4,1,0,True,injured_or_dead_people,28,0,13
451187671235584001,Wed Apr 02 02:41:38 +0000 2014,374830,1073,True,112230,3540,4,1,0,True,other_useful_information,28,0,13
451187674385117185,Wed Apr 02 02:41:38 +0000 2014,6400,3798,True,28443,2842,2,1,1,True,other_useful_information,362,0,13
451187677992214528,Wed Apr 02 02:41:39 +0000 2014,340,214,False,3293,3116,2,2,1,False,other_useful_information,149,0,14
451187681817395200,Wed Apr 02 02:41:40 +0000 2014,6499,3504,True,435771,3743,1,1,0,False,caution_and_advice,9,0,15
451187682694406144,Wed Apr 02 02:41:40 +0000 2014,4818487,5340,True,61411,2562,2,0,0,True,other_useful_information,1,0,15
451187682824433664,Wed Apr 02 02:41:40 +0000 2014,483,1274,False,51752,3294,2,1,1,False,other_useful_information,362,0,15
451187684237910017,Wed Apr 02 02:41:41 +0000 2014,7544,5322,True,393264,3297,1,1,1,False,sympathy_and_emotional_support,281,0,16
451187685227765760,Wed Apr 02 02:41:41 +0000 2014,4628,1376,False,259909,3338,2,2,0,False,other_useful_information,148,0,16
451187686075039744,Wed Apr 02 02:41:41 +0000 2014,2461,511,False,84342,3262,2,1,0,False,sympathy_and_emotional_support,96,0,16
451187687660068864,Wed Apr 02 02:41:42 +0000 2014,102,214,True,2567,2125,2,2,1,False,other_useful_information,149,0,17
451187697910939648,Wed Apr 02 02:41:44 +0000 2014,496,585,True,5436,2788,2,1,1,False,injured_or_dead_people,44,0,19
451187697952907264,Wed Apr 02 02:41:44 +0000 2014,148,1,False,2224,3061,2,2,0,False,other_useful_information,148,0,19
451187698309406720,Wed Apr 02 02:41:44 +0000 2014,452,1416,False,7391,3007,1,1,0,False,sympathy_and_emotional_support,2,0,19
451187699374780416,Wed Apr 02 02:41:44 +0000 2014,347,292,True,24929,2404,2,2,0,False,sympathy_and_emotional_support,148,0,19
451187700436324352,Wed Apr 02 02:41:45 +0000 2014,4634,5084,True,37043,3513,1,1,1,False,sympathy_and_emotional_support,281,0,20
451187704454475776,Wed Apr 02 02:41:46 +0000 2014,59,289,True,3304,2476,3,1,0,False,other_useful_information,155,0,21
451187704928034816,Wed Apr 02 02:41:46 +0000 2014,536,718,True,8246,2370,1,1,1,False,other_useful_information,281,0,21
451187707856027648,Wed Apr 02 02:41:46 +0000 2014,391,386,True,13168,2424,2,2,0,False,caution_and_advice,148,0,21
451187710049652736,Wed Apr 02 02:41:47 +0000 2014,400,1954,True,1522,1721,1,0,0,False,sympathy_and_emotional_support,0,0,22
451187710623899648,Wed Apr 02 02:41:47 +0000 2014,162,343,False,61467,2898,3,2,1,False,caution_and_advice,227,0,22
451187710854967296,Wed Apr 02 02:41:47 +0000 2014,44,149,True,1204,1892,2,1,0,False,sympathy_and_emotional_support,172,0,22
451187712008003584,Wed Apr 02 02:41:47 +0000 2014,5258,5356,False,208016,2943,1,1,1,False,other_useful_information,239,0,22
451187717183795200,Wed Apr 02 02:41:49 +0000 2014,1701,3697,False,22910,3392,2,1,0,False,sympathy_and_emotional_support,0,0,24
451187718282698752,Wed Apr 02 02:41:49 +0000 2014,154,330,False,1308,1741,1,1,0,False,other_useful_information,37,0,24
451187719767474176,Wed Apr 02 02:41:49 +0000 2014,5192,1527,True,28805,3611,2,1,1,True,sympathy_and_emotional_support,362,0,24
451187722493779970,Wed Apr 02 02:41:50 +0000 2014,76893,11991,True,63679,3248,2,1,1,False,not_related_or_irrelevant,362,0,25
451187723089760256,Wed Apr 02 02:41:50 +0000 2014,215,271,True,12799,2636,1,1,0,False,caution_and_advice,129,0,25
451187723349786624,Wed Apr 02 02:41:50 +0000 2014,1289,812,False,40603,3287,1,1,0,False,other_useful_information,9,0,25
451187724863545344,Wed Apr 02 02:41:50 +0000 2014,985,245,False,5192,2872,2,2,1,False,caution_and_advice,149,0,25
451187725409218560,Wed Apr 02 02:41:51 +0000 2014,571,1093,True,12885,3300,1,1,1,False,other_useful_information,281,0,26
451187726017376256,Wed Apr 02 02:41:51 +0000 2014,1060,1006,True,24379,3054,1,1,0,False,other_useful_information,57,0,26
451187726151593984,Wed Apr 02 02:41:51 +0000 2014,67,153,False,4476,3154,1,1,1,False,other_useful_information,281,0,26
451187726402867200,Wed Apr 02 02:41:51 +0000 2014,558,1241,True,5478,2289,2,1,1,False,donation_needs_or_offers_or_volunteering_services,362,0,26
451187729167286273,Wed Apr 02 02:41:51 +0000 2014,6316,4274,True,162161,3483,1,1,1,False,caution_and_advice,281,0,26
451187729976397824,Wed Apr 02 02:41:52 +0000 2014,1571,1740,True,19284,2658,1,1,0,False,sympathy_and_emotional_support,0,0,27
451187731809697792,Wed Apr 02 02:41:52 +0000 2014,1350,1450,True,44104,3236,4,1,0,False,other_useful_information,1,0,27
451187734452129792,Wed Apr 02 02:41:53 +0000 2014,2308,4384,True,306540,2856,2,1,1,False,other_useful_information,44,0,28
451187734720172032,Wed Apr 02 02:41:53 +0000 2014,1388,1576,False,104697,3456,2,2,0,False,other_useful_information,148,0,28
451187734736928768,Wed Apr 02 02:41:53 +0000 2014,2041,450,True,2651,3039,1,0,0,False,sympathy_and_emotional_support,0,4,28
451187739010936832,Wed Apr 02 02:41:54 +0000 2014,452,1416,False,7391,3007,2,0,0,False,other_useful_information,1,0,29
451187739547795456,Wed Apr 02 02:41:54 +0000 2014,5306,5395,True,385595,2689,2,1,0,False,other_useful_information,13,0,29
451187739980234752,Wed Apr 02 02:41:54 +0000 2014,116744,3201,True,329042,3482,1,1,0,True,displaced_people_and_evacuations,2,1,29
451187741238120448,Wed Apr 02 02:41:54 +0000 2014,421,946,True,10364,2496,2,2,1,False,other_useful_information,149,0,29
451187741326192640,Wed Apr 02 02:41:54 +0000 2014,22658,24835,True,341502,3489,1,1,1,False,sympathy_and_emotional_support,281,0,29
451187741754417153,Wed Apr 02 02:41:54 +0000 2014,418,874,True,2087,3195,1,0,0,False,sympathy_and_emotional_support,0,0,29
451187742668767234,Wed Apr 02 02:41:55 +0000 2014,8975,1382,True,12698,2638,2,0,0,False,other_useful_information,0,0,30
451187742857109504,Wed Apr 02 02:41:55 +0000 2014,82,671,True,3024,3387,2,2,0,False,other_useful_information,148,0,30
451187742911651840,Wed Apr 02 02:41:55 +0000 2014,350,340,False,618054,3366,1,1,0,False,injured_or_dead_people,217,0,30
451187745990656000,Wed Apr 02 02:41:56 +0000 2014,2284,2189,True,12500,2254,2,1,0,False,other_useful_information,20,0,31
451187748804648960,Wed Apr 02 02:41:56 +0000 2014,299,257,True,10428,2005,2,2,0,False,other_useful_information,148,0,31
451187749077663744,Wed Apr 02 02:41:56 +0000 2014,1308,1555,False,6627,3177,2,1,0,False,not_related_or_irrelevant,0,0,31
451187750213910528,Wed Apr 02 02:41:56 +0000 2014,550,1325,True,1249,3218,1,0,0,False,other_useful_information,1,0,31
451187750231093248,Wed Apr 02 02:41:57 +0000 2014,2171,2404,False,9876,3211,2,2,0,False,other_useful_information,148,0,32
451187750805323776,Wed Apr 02 02:41:57 +0000 2014,510,518,True,84645,3293,1,1,1,False,caution_and_advice,281,0,32
451187753904910336,Wed Apr 02 02:41:57 +0000 2014,353,792,True,1049,2051,2,0,0,False,sympathy_and_emotional_support,0,0,32
451187754198896640,Wed Apr 02 02:41:57 +0000 2014,56,201,True,305,2708,2,1,0,False,other_useful_information,172,0,32
451187754693443584,Wed Apr 02 02:41:58 +0000 2014,998,1994,False,212315,3211,2,1,1,False,not_related_or_irrelevant,362,0,33
451187755293233152,Wed Apr 02 02:41:58 +0000 2014,76,32,True,1317,2206,2,1,1,False,other_useful_information,362,0,33
451187756056584192,Wed Apr 02 02:41:58 +0000 2014,2581,1808,True,21299,2405,2,2,0,False,other_useful_information,148,0,33
451187756769611776,Wed Apr 02 02:41:58 +0000 2014,279,1227,True,8412,3217,1,1,0,False,other_useful_information,11,0,33
451187757524987904,Wed Apr 02 02:41:58 +0000 2014,116,86,False,6924,2211,3,1,0,False,sympathy_and_emotional_support,71,0,33
451187762259980288,Wed Apr 02 02:41:59 +0000 2014,1205,1006,True,83070,3086,2,1,1,False,injured_or_dead_people,44,0,34
451187762436116481,Wed Apr 02 02:41:59 +0000 2014,282,455,False,3936,2371,2,1,1,False,sympathy_and_emotional_support,362,0,34
451187762603900928,Wed Apr 02 02:41:59 +0000 2014,48,45,False,1235,1561,2,1,0,False,sympathy_and_emotional_support,89,0,34
451187763639885824,Wed Apr 02 02:42:00 +0000 2014,67,327,False,2732,2169,1,1,0,False,other_useful_information,68,0,35
451187764261040128,Wed Apr 02 02:42:00 +0000 2014,1082,422,False,139233,3345,3,1,0,False,sympathy_and_emotional_support,51,0,35
451187767964602368,Wed Apr 02 02:42:01 +0000 2014,14856,804,False,13315,3374,2,1,1,False,caution_and_advice,362,0,36
451187769478348800,Wed Apr 02 02:42:01 +0000 2014,1197,3737,True,17007,3184,2,2,0,False,other_useful_information,8,0,36
451187770493779968,Wed Apr 02 02:42:01 +0000 2014,3736,1054,True,39812,3381,1,1,0,True,injured_or_dead_people,0,0,36
451187770766020608,Wed Apr 02 02:42:01 +0000 2014,184,103,False,22098,2602,2,2,0,False,other_useful_information,148,0,36
451187772141744128,Wed Apr 02 02:42:02 +0000 2014,15947,4287,False,19340,3376,2,1,1,True,caution_and_advice,362,0,37
451187774310596609,Wed Apr 02 02:42:02 +0000 2014,17907,20585,False,490263,1731,3,2,0,False,other_useful_information,1,0,37
451187774557650944,Wed Apr 02 02:42:02 +0000 2014,4478,1518,False,347330,3163,1,0,1,False,sympathy_and_emotional_support,0,0,37
451187774771953664,Wed Apr 02 02:42:02 +0000 2014,3594,4776,False,40622,3360,3,2,0,False,sympathy_and_emotional_support,0,0,37
451187774977110016,Wed Apr 02 02:42:02 +0000 2014,3310,907,False,105352,2137,1,0,1,False,injured_or_dead_people,0,0,37
451187776763858944,Wed Apr 02 02:42:03 +0000 2014,13585,2408,True,41280,4335,2,2,0,False,caution_and_advice,47,0,38
451187780555522048,Wed Apr 02 02:42:04 +0000 2014,445,391,False,13413,1519,2,2,0,False,caution_and_advice,148,0,39
451187781172494336,Wed Apr 02 02:42:04 +0000 2014,185,637,False,8590,3409,1,1,1,False,injured_or_dead_people,281,0,39
451187785236742144,Wed Apr 02 02:42:05 +0000 2014,2077,1097,True,30078,2282,2,0,0,False,displaced_people_and_evacuations,1,2,40
451187785857114112,Wed Apr 02 02:42:05 +0000 2014,232,2011,True,5631,4028,2,2,0,False,not_related_or_irrelevant,24,0,40
451187786821816321,Wed Apr 02 02:42:05 +0000 2014,4567,962,False,2940629,3069,1,0,1,False,sympathy_and_emotional_support,0,0,40
451187787199311872,Wed Apr 02 02:42:05 +0000 2014,294,100,True,21162,2035,2,2,0,False,sympathy_and_emotional_support,148,0,40
451187787531055104,Wed Apr 02 02:42:05 +0000 2014,479,591,False,28902,1949,2,2,0,False,caution_and_advice,148,0,40
451187791939252225,Wed Apr 02 02:42:06 +0000 2014,1978,2055,True,74157,2960,1,1,1,False,caution_and_advice,281,0,41
451187797890973696,Wed Apr 02 02:42:08 +0000 2014,1810,504,True,29131,2327,2,2,0,False,sympathy_and_emotional_support,148,0,43
451187800902094848,Wed Apr 02 02:42:09 +0000 2014,20321,537,True,23014,3148,1,1,0,True,not_related_or_irrelevant,68,0,44
451187804001665024,Wed Apr 02 02:42:09 +0000 2014,1712,946,False,300898,3367,2,2,0,False,sympathy_and_emotional_support,148,0,44
451187804056592384,Wed Apr 02 02:42:09 +0000 2014,92,108,True,9607,2731,1,1,1,False,sympathy_and_emotional_support,281,0,44
451187806342086656,Wed Apr 02 02:42:10 +0000 2014,6499,3504,True,435771,3743,2,2,0,False,caution_and_advice,148,0,45
451187806509862912,Wed Apr 02 02:42:10 +0000 2014,3394,3224,True,341220,2283,2,2,0,False,not_related_or_irrelevant,3,0,45
451187806954479616,Wed Apr 02 02:42:10 +0000 2014,344,814,True,17120,3138,1,1,1,False,not_related_or_irrelevant,281,0,45
451187810079625216,Wed Apr 02 02:42:11 +0000 2014,381,350,True,23268,3390,1,1,0,False,not_related_or_irrelevant,2,0,46
451187810179899392,Wed Apr 02 02:42:11 +0000 2014,662,624,False,163565,2544,1,1,1,False,not_related_or_irrelevant,281,0,46
451187810771288064,Wed Apr 02 02:42:11 +0000 2014,1723,61,False,399,1999,2,2,1,False,not_related_or_irrelevant,149,0,46
451187811128209409,Wed Apr 02 02:42:11 +0000 2014,725,1395,True,18179,2366,2,2,0,False,caution_and_advice,148,0,46
451187814399373312,Wed Apr 02 02:42:12 +0000 2014,46,176,True,3258,1644,1,1,1,False,not_related_or_irrelevant,54,0,47
451187816299786241,Wed Apr 02 02:42:12 +0000 2014,506,414,True,19217,3278,2,2,0,False,caution_and_advice,148,0,47
451187818094944256,Wed Apr 02 02:42:13 +0000 2014,204,462,False,151505,2333,2,2,0,False,caution_and_advice,148,0,48
451187821483524096,Wed Apr 02 02:42:13 +0000 2014,2936,3662,False,17151,2442,2,1,1,False,sympathy_and_emotional_support,44,0,48
451187822243110912,Wed Apr 02 02:42:14 +0000 2014,6546,6118,False,226471,2572,3,0,0,False,other_useful_information,82,0,49
451187823354585088,Wed Apr 02 02:42:14 +0000 2014,185,637,False,8590,3409,2,1,1,False,other_useful_information,362,0,49
451187826626150400,Wed Apr 02 02:42:15 +0000 2014,208,905,False,5075,1549,2,1,0,False,not_related_or_irrelevant,401,0,50
451187830283202560,Wed Apr 02 02:42:16 +0000 2014,2876,79,False,12181,2963,2,1,1,False,other_useful_information,31,0,51
451187841004212224,Wed Apr 02 02:42:18 +0000 2014,842,2183,True,57709,3132,4,1,0,False,sympathy_and_emotional_support,28,0,53
451187842723479552,Wed Apr 02 02:42:19 +0000 2014,474,495,True,55126,3155,2,2,0,False,other_useful_information,148,0,54
451187845030756352,Wed Apr 02 02:42:19 +0000 2014,9741,8038,True,121471,3308,2,1,0,False,caution_and_advice,6,0,54
451187846934581248,Wed Apr 02 02:42:20 +0000 2014,1360,1812,True,21680,2897,2,1,1,False,sympathy_and_emotional_support,362,0,55
451187849384439808,Wed Apr 02 02:42:20 +0000 2014,987,1214,False,1553,2763,5,0,0,False,sympathy_and_emotional_support,0,0,55
