,TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,DeltaSeconds
0,451187618697736192,Wed Apr 02 02:41:25 +0000 2014,515,241,True,8624,3026,1,1,1,False,sympathy_and_emotional_support,281,0,0
2,451187621843070976,Wed Apr 02 02:41:26 +0000 2014,122,474,False,856,2525,2,2,1,False,sympathy_and_emotional_support,149,0,1
3,451187621901791232,Wed Apr 02 02:41:26 +0000 2014,1569,329,False,655,1776,2,2,1,False,infrastructure_and_utilities_damage,149,0,1
4,451187622077947904,Wed Apr 02 02:41:26 +0000 2014,10551,2662,True,31414,3302,2,2,1,True,other_useful_information,1,0,1
5,451187623252336640,Wed Apr 02 02:41:26 +0000 2014,101,435,True,169,1538,3,1,0,False,other_useful_information,14,0,1
8,451187625114611712,Wed Apr 02 02:41:27 +0000 2014,2312,2837,False,135514,3358,1,1,1,False,injured_or_dead_people,281,0,2
9,451187630277812224,Wed Apr 02 02:41:28 +0000 2014,1450,421,False,2728,3242,2,2,1,False,other_useful_information,149,0,3
10,451187630542032897,Wed Apr 02 02:41:28 +0000 2014,164,811,True,6098,2528,3,0,0,False,caution_and_advice,1,1,3
12,451187635709440000,Wed Apr 02 02:41:29 +0000 2014,423,831,False,39324,2921,1,3,0,False,other_useful_information,35,0,4
13,451187637437476865,Wed Apr 02 02:41:30 +0000 2014,1048,2117,False,14135,3381,2,2,1,False,not_related_or_irrelevant,149,0,5
14,451187637463031808,Wed Apr 02 02:41:30 +0000 2014,1220,1229,False,214865,2491,2,2,0,False,not_related_or_irrelevant,148,0,5
16,451187640490942464,Wed Apr 02 02:41:30 +0000 2014,745,655,False,20450,2977,5,1,0,False,other_useful_information,12,0,5
21,451187646602047488,Wed Apr 02 02:41:32 +0000 2014,6722,29,False,421763,2680,1,1,1,False,not_related_or_irrelevant,1,0,7
22,451187647226998784,Wed Apr 02 02:41:32 +0000 2014,183,52,True,1291,3006,2,2,1,False,sympathy_and_emotional_support,149,0,7
24,451187650439815168,Wed Apr 02 02:41:33 +0000 2014,540,296,True,28945,3114,1,1,0,False,sympathy_and_emotional_support,34,0,8
25,451187651509755904,Wed Apr 02 02:41:33 +0000 2014,196,87,True,28010,2724,1,1,1,False,injured_or_dead_people,281,0,8
26,451187656257708032,Wed Apr 02 02:41:35 +0000 2014,533,920,False,2191,2042,2,2,1,False,other_useful_information,149,0,10
28,451187659151400961,Wed Apr 02 02:41:35 +0000 2014,233,368,True,8873,2263,1,1,1,False,sympathy_and_emotional_support,281,0,10
29,451187659709235200,Wed Apr 02 02:41:35 +0000 2014,118,482,False,2345,2565,1,1,1,False,not_related_or_irrelevant,59,0,10
30,451187660858462208,Wed Apr 02 02:41:35 +0000 2014,1366,1884,False,4703,2880,1,1,0,False,not_related_or_irrelevant,68,0,10
32,451187669251280896,Wed Apr 02 02:41:37 +0000 2014,1442,1515,False,17082,2492,2,2,1,False,sympathy_and_emotional_support,149,0,12
