TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,DeltaSeconds
575736037986578433,Wed Mar 11 19:12:22 +0000 2015,1401,4916,True,3005,1202,1,1,0,False,injured_or_dead_people,0,0,0
575736076087644160,Wed Mar 11 19:12:31 +0000 2015,423834,483,True,40818,3581,1,0,0,True,other_useful_information,6,1,9
575736131817369601,Wed Mar 11 19:12:45 +0000 2015,1614,361,True,9152,1698,2,0,0,True,other_useful_information,21,0,23
575736147046834176,Wed Mar 11 19:12:48 +0000 2015,1401,4916,True,3005,1202,1,1,0,False,infrastructure_and_utilities_damage,7,0,26
575736273350098944,Wed Mar 11 19:13:18 +0000 2015,1808,382,True,257819,2449,0,1,0,False,not_related_or_irrelevant,2,0,56
575736292618563584,Wed Mar 11 19:13:23 +0000 2015,3962,104,True,5697,1488,2,0,0,True,other_useful_information,21,0,61
575736345332600832,Wed Mar 11 19:13:36 +0000 2015,834,630,True,10850,1208,1,2,1,False,not_related_or_irrelevant,22,0,74
575736452413136897,Wed Mar 11 19:14:01 +0000 2015,1054,104,False,4378,3386,0,0,1,False,donation_needs_or_offers_or_volunteering_services,1,0,99
575736502006603776,Wed Mar 11 19:14:13 +0000 2015,269,0,False,34140,2662,0,0,1,False,injured_or_dead_people,0,0,111
575736544465580033,Wed Mar 11 19:14:23 +0000 2015,518,1932,False,1983,2218,2,1,0,False,infrastructure_and_utilities_damage,1,0,121
575736623708532736,Wed Mar 11 19:14:42 +0000 2015,88245,2176,True,33731,2638,4,0,0,True,donation_needs_or_offers_or_volunteering_services,3,3,140
575736634190270465,Wed Mar 11 19:14:44 +0000 2015,6031,272,True,324057,1795,1,1,0,False,other_useful_information,0,0,142
575736643191246848,Wed Mar 11 19:14:47 +0000 2015,597,684,False,97273,3029,1,0,1,False,not_related_or_irrelevant,0,0,145
575736693820514304,Wed Mar 11 19:14:59 +0000 2015,5374,22,False,23679,3370,0,0,1,False,other_useful_information,1,0,157
575736803677761536,Wed Mar 11 19:15:25 +0000 2015,189963,370,True,59369,3230,3,0,1,True,caution_and_advice,3,0,183
575736838293426176,Wed Mar 11 19:15:33 +0000 2015,28282,180,True,1142578,1895,1,0,1,False,not_related_or_irrelevant,0,0,191
575736933755805696,Wed Mar 11 19:15:56 +0000 2015,2377,1803,True,304565,2538,0,1,0,False,infrastructure_and_utilities_damage,2,0,214
575736980966785024,Wed Mar 11 19:16:07 +0000 2015,3856,4185,False,675297,1654,0,1,0,False,other_useful_information,3,0,225
575737015599259648,Wed Mar 11 19:16:15 +0000 2015,719,231,False,91856,3323,1,3,1,False,donation_needs_or_offers_or_volunteering_services,7,0,233
575737024310697984,Wed Mar 11 19:16:17 +0000 2015,285,452,True,16086,2305,1,2,0,False,other_useful_information,7,0,235
575737043071930368,Wed Mar 11 19:16:22 +0000 2015,293,510,False,1400,1655,2,0,0,False,other_useful_information,21,0,240
575737048994217984,Wed Mar 11 19:16:23 +0000 2015,733,2872,True,5753,2981,3,0,0,False,other_useful_information,0,0,241
575737189646090240,Wed Mar 11 19:16:57 +0000 2015,289,726,True,5517,1383,4,1,0,False,not_related_or_irrelevant,3,0,275
