TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds
382813388503412736,Wed Sep 25 10:26:38 +0000 2013,504,516,True,4090,2027,3,2,0,False,other_useful_information,6,0,Client Web,True,0
382813391435206659,Wed Sep 25 10:26:39 +0000 2013,2550,498,True,18837,3065,2,2,0,False,not_related_or_irrelevant,20,0,Client Web,True,1
382813401845485568,Wed Sep 25 10:26:41 +0000 2013,217,235,True,20799,2005,2,1,1,False,not_related_or_irrelevant,4,0,MobileApp,True,3
382813437513834497,Wed Sep 25 10:26:50 +0000 2013,7601,4191,False,181478,2199,2,3,1,False,donation_needs_or_offers_or_volunteering_services,1,0,Client Web,True,12
382813444011204608,Wed Sep 25 10:26:52 +0000 2013,117,273,False,6630,2526,1,1,1,False,other_useful_information,252,0,Tweetbot,True,14
382813445495586816,Wed Sep 25 10:26:52 +0000 2013,516,331,True,20848,1817,2,1,0,False,other_useful_information,5,0,MobileApp,True,14
382813466014121984,Wed Sep 25 10:26:57 +0000 2013,12772,396,True,25089,2711,2,2,0,False,not_related_or_irrelevant,20,0,MobileApp,True,19
382813467528282112,Wed Sep 25 10:26:57 +0000 2013,1031,2101,True,6637,3321,2,1,1,False,injured_or_dead_people,16,0,TweetDeck,True,19
382813501489946624,Wed Sep 25 10:27:05 +0000 2013,70,154,False,1565,1758,3,1,0,False,injured_or_dead_people,4,0,MobileApp,True,27
382813514881982464,Wed Sep 25 10:27:08 +0000 2013,1911,46,False,36958,1729,2,0,1,False,not_related_or_irrelevant,0,0,Twitterfeed,False,30
382813518602313729,Wed Sep 25 10:27:09 +0000 2013,12236,855,True,58696,2982,3,1,0,False,donation_needs_or_offers_or_volunteering_services,5,1,Client Web,False,31
382813530396700672,Wed Sep 25 10:27:12 +0000 2013,1743,1392,True,13112,3639,1,2,0,False,other_useful_information,71,0,Client Web,True,34
382813532305096705,Wed Sep 25 10:27:13 +0000 2013,21145,366,False,26592,3025,1,1,0,False,other_useful_information,9,0,Client Web,True,35
382813540366954497,Wed Sep 25 10:27:15 +0000 2013,20,10,False,35617,2238,1,0,1,False,other_useful_information,0,0,UnofficialApps,False,37
382813540413095936,Wed Sep 25 10:27:15 +0000 2013,20,10,False,35617,2238,1,0,1,False,injured_or_dead_people,0,0,UnofficialApps,False,37
382813561875361792,Wed Sep 25 10:27:20 +0000 2013,1153,4541,True,21049,3132,1,2,0,False,missing_trapped_or_found_people,71,0,MobileApp,True,42
382813587410259968,Wed Sep 25 10:27:26 +0000 2013,28859,990,False,305426,2983,1,1,0,False,injured_or_dead_people,2,0,Tweetbot,False,48
382813601024995328,Wed Sep 25 10:27:29 +0000 2013,5435,786,True,21199,2971,4,1,0,False,donation_needs_or_offers_or_volunteering_services,2,0,MobileApp,True,51
382813620356534272,Wed Sep 25 10:27:34 +0000 2013,28859,990,False,305426,2983,3,2,0,False,donation_needs_or_offers_or_volunteering_services,6,0,Tweetbot,True,56
382813652752928768,Wed Sep 25 10:27:41 +0000 2013,417,372,False,57704,3262,2,1,0,False,injured_or_dead_people,5,0,TweetDeck,True,63
382813700375474176,Wed Sep 25 10:27:53 +0000 2013,738,687,True,12442,3041,1,0,0,False,other_useful_information,0,0,MobileApp,False,75
382813702132867072,Wed Sep 25 10:27:53 +0000 2013,1449,2184,True,99119,3016,3,2,1,False,other_useful_information,4,0,MobileApp,True,75
382813719941484544,Wed Sep 25 10:27:57 +0000 2013,55,143,False,5529,2423,2,1,0,False,caution_and_advice,1,0,Client Web,True,79
382813733623300096,Wed Sep 25 10:28:01 +0000 2013,428,1246,True,10230,3203,1,0,1,False,other_useful_information,0,0,Developer,False,83
382813761330888704,Wed Sep 25 10:28:07 +0000 2013,658,819,True,2957,1798,3,0,1,False,other_useful_information,0,0,Client Web,False,89
382813788832940033,Wed Sep 25 10:28:14 +0000 2013,5389,1943,True,37675,3170,2,1,1,False,injured_or_dead_people,16,0,MobileApp,True,96
382813812040409089,Wed Sep 25 10:28:19 +0000 2013,198,63,True,6119,3376,4,0,1,False,other_useful_information,0,0,OtherSite,False,101
382813829719019521,Wed Sep 25 10:28:24 +0000 2013,4050,237,True,21637,2748,1,0,1,False,caution_and_advice,6,1,Developer,False,106
382813848006180864,Wed Sep 25 10:28:28 +0000 2013,147,243,False,5102,3243,1,1,0,False,other_useful_information,9,0,Client Web,True,110
382813873679896576,Wed Sep 25 10:28:34 +0000 2013,520,231,True,4318,1765,2,0,0,False,infrastructure_and_utilities_damage,0,2,MobileApp,False,116
382813924208308224,Wed Sep 25 10:28:46 +0000 2013,4192,1101,True,4992,2946,5,0,0,False,other_useful_information,0,0,Client Web,False,128
382813932437917696,Wed Sep 25 10:28:48 +0000 2013,23830,84,False,8112,2194,4,0,0,False,donation_needs_or_offers_or_volunteering_services,19,1,MobileApp,False,130
382813945913831424,Wed Sep 25 10:28:51 +0000 2013,3954,1518,False,30422,2325,2,2,0,False,caution_and_advice,4,0,Client Web,True,133
382813996354510848,Wed Sep 25 10:29:03 +0000 2013,174,272,False,14796,3215,1,1,0,False,other_useful_information,18,0,MobileApp,True,145
382814017099558912,Wed Sep 25 10:29:08 +0000 2013,403,700,False,4109,3294,2,1,1,False,other_useful_information,16,0,Client Web,True,150
382814060326043648,Wed Sep 25 10:29:18 +0000 2013,131,29,False,98,1824,1,1,0,False,donation_needs_or_offers_or_volunteering_services,1,0,Client Web,False,160
382814060385161216,Wed Sep 25 10:29:19 +0000 2013,239,402,True,7524,1994,1,1,0,False,caution_and_advice,1,0,MobileApp,True,161
382814062196703232,Wed Sep 25 10:29:19 +0000 2013,877142,721,True,47987,2505,1,0,1,True,not_related_or_irrelevant,11,2,Client Web,False,161
382814062704226304,Wed Sep 25 10:29:19 +0000 2013,417,372,False,57704,3262,4,1,0,False,injured_or_dead_people,2,0,TweetDeck,True,161
382814074104328192,Wed Sep 25 10:29:22 +0000 2013,1774,484,False,24861,2582,1,1,1,False,other_useful_information,0,0,Developer,False,164
382814074439868419,Wed Sep 25 10:29:22 +0000 2013,7254,2124,True,181094,1983,4,1,0,False,sympathy_and_emotional_support,19,0,Client Web,True,164
382814086519869441,Wed Sep 25 10:29:25 +0000 2013,346,346,True,2990,2246,5,1,0,False,not_related_or_irrelevant,7,0,MobileApp,True,167
382814114860367872,Wed Sep 25 10:29:31 +0000 2013,896,2,True,3284,2004,6,0,1,False,injured_or_dead_people,0,0,TweetDeck,False,173
382814115276025856,Wed Sep 25 10:29:32 +0000 2013,574,536,False,7730,2932,1,2,0,False,not_related_or_irrelevant,0,1,OtherSite,False,174
382814118056431616,Wed Sep 25 10:29:32 +0000 2013,747,1,True,22150,2004,6,0,1,False,not_related_or_irrelevant,0,0,TweetDeck,False,174
382814125899784192,Wed Sep 25 10:29:34 +0000 2013,86,67,False,5968,2034,6,0,1,False,other_useful_information,0,0,TweetDeck,False,176
382814134032531456,Wed Sep 25 10:29:36 +0000 2013,8432,6339,False,135027,2060,6,0,1,False,displaced_people_and_evacuations,0,0,TweetDeck,False,178
382814138235236352,Wed Sep 25 10:29:37 +0000 2013,75,0,False,2190,2241,6,0,1,False,other_useful_information,0,0,TweetDeck,False,179
