TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds
503642976976113664,Sun Aug 24 20:40:17 +0000 2014,37,51,False,2475,1897,1,2,1,False,infrastructure_and_utilities_damage,79,0,MobileApp,True,0
503642977588494337,Sun Aug 24 20:40:17 +0000 2014,37330,1132,False,10590,3297,1,1,1,True,injured_or_dead_people,13,0,MobileApp,True,0
503642982189252608,Sun Aug 24 20:40:18 +0000 2014,531,1022,False,9040,1709,7,0,0,False,other_useful_information,0,0,MobileApp,False,1
503642984429395968,Sun Aug 24 20:40:19 +0000 2014,23,59,False,72,1413,0,1,1,False,other_useful_information,135,0,Client Web,True,2
503642985167609856,Sun Aug 24 20:40:19 +0000 2014,1917,899,True,11191,3410,0,0,0,False,injured_or_dead_people,0,0,MobileApp,False,2
503642988522647552,Sun Aug 24 20:40:20 +0000 2014,956,1124,True,31596,2097,0,1,1,False,sympathy_and_emotional_support,753,0,MobileApp,True,3
503642992541171712,Sun Aug 24 20:40:21 +0000 2014,154,348,True,1780,2063,0,1,0,False,infrastructure_and_utilities_damage,50,0,Tablet,True,4
503642993677443072,Sun Aug 24 20:40:21 +0000 2014,1346,839,True,127319,2330,2,1,0,False,other_useful_information,4542,0,MobileApp,True,4
503642995879849985,Sun Aug 24 20:40:22 +0000 2014,431,192,False,15872,2541,1,0,0,False,other_useful_information,3006,0,MobileApp,True,5
503642996584513536,Sun Aug 24 20:40:22 +0000 2014,2482,1160,False,71166,3588,0,1,1,False,not_related_or_irrelevant,96,0,Client Web,True,5
503642998664884225,Sun Aug 24 20:40:22 +0000 2014,1332,1701,False,239654,1562,1,0,1,False,other_useful_information,0,0,OtherSite,False,5
503642998832242689,Sun Aug 24 20:40:22 +0000 2014,71,43,False,1739,1682,2,1,0,False,caution_and_advice,4542,0,MobileApp,True,5
503643000913006593,Sun Aug 24 20:40:23 +0000 2014,699,1840,True,46710,1450,2,1,0,False,other_useful_information,58,0,MobileApp,True,6
503643001185636352,Sun Aug 24 20:40:23 +0000 2014,7121,4574,False,41767,1738,4,0,1,False,infrastructure_and_utilities_damage,0,0,UnofficialApps,False,6
503643001722118144,Sun Aug 24 20:40:23 +0000 2014,1866,2252,False,9152,2736,2,1,0,False,other_useful_information,2,0,Tablet,True,6
503643003508883458,Sun Aug 24 20:40:23 +0000 2014,105,264,False,4518,1418,0,1,1,False,not_related_or_irrelevant,101,0,MobileApp,True,6
503643004759195650,Sun Aug 24 20:40:24 +0000 2014,304,159,True,2636,1522,2,1,0,False,injured_or_dead_people,32,0,UnofficialApps,True,7
