TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds
451187618697736192,Wed Apr 02 02:41:25 +0000 2014,515,241,True,8624,3028,1,1,1,False,sympathy_and_emotional_support,281,0,MobileApp,True,0
451187621843070976,Wed Apr 02 02:41:26 +0000 2014,122,474,False,856,2527,2,2,1,False,sympathy_and_emotional_support,149,0,MobileApp,True,1
451187621901791232,Wed Apr 02 02:41:26 +0000 2014,1568,329,False,655,1778,2,2,1,False,infrastructure_and_utilities_damage,149,0,MobileApp,True,1
451187622077947904,Wed Apr 02 02:41:26 +0000 2014,10559,2663,True,31449,3304,2,2,1,True,other_useful_information,1,0,MobileApp,False,1
451187623252336640,Wed Apr 02 02:41:26 +0000 2014,101,435,True,169,1540,3,1,0,False,other_useful_information,14,0,Developer,True,1
451187625114611712,Wed Apr 02 02:41:27 +0000 2014,2303,2834,False,135532,3360,1,1,1,False,injured_or_dead_people,281,0,MobileApp,True,2
451187630277812224,Wed Apr 02 02:41:28 +0000 2014,1449,422,False,2732,3244,2,2,1,False,other_useful_information,149,0,Client Web,True,3
451187630542032897,Wed Apr 02 02:41:28 +0000 2014,164,811,True,6101,2530,3,0,0,False,caution_and_advice,1,1,Client Web,False,3
451187635709440000,Wed Apr 02 02:41:29 +0000 2014,422,832,False,39371,2923,1,3,0,False,other_useful_information,35,0,MobileApp,True,4
451187637437476865,Wed Apr 02 02:41:30 +0000 2014,1050,2116,False,14135,3383,2,2,1,False,not_related_or_irrelevant,149,0,MobileApp,True,5
451187637463031808,Wed Apr 02 02:41:30 +0000 2014,1219,1228,False,214861,2493,2,2,0,False,not_related_or_irrelevant,148,0,TweetDeck,True,5
451187640490942464,Wed Apr 02 02:41:30 +0000 2014,746,655,False,20449,2980,5,1,0,False,other_useful_information,12,0,MobileApp,True,5
451187646602047488,Wed Apr 02 02:41:32 +0000 2014,6729,21,False,422167,2683,1,1,1,False,not_related_or_irrelevant,1,0,Tablet,False,7
451187647226998784,Wed Apr 02 02:41:32 +0000 2014,183,52,True,1291,3008,2,2,1,False,sympathy_and_emotional_support,149,0,Client Web,True,7
451187650439815168,Wed Apr 02 02:41:33 +0000 2014,540,297,True,28947,3116,1,1,0,False,sympathy_and_emotional_support,34,0,MobileApp,True,8
451187651509755904,Wed Apr 02 02:41:33 +0000 2014,197,80,True,28060,2726,1,1,1,False,injured_or_dead_people,281,0,Client Web,True,8
451187656257708032,Wed Apr 02 02:41:35 +0000 2014,533,920,False,2191,2045,2,2,1,False,other_useful_information,149,0,Client Web,True,10
451187659151400961,Wed Apr 02 02:41:35 +0000 2014,234,369,True,8879,2265,1,1,1,False,sympathy_and_emotional_support,281,0,Client Web,True,10
451187659709235200,Wed Apr 02 02:41:35 +0000 2014,117,482,False,2345,2567,1,1,1,False,not_related_or_irrelevant,59,0,Tablet,True,10
451187660858462208,Wed Apr 02 02:41:35 +0000 2014,1369,1887,False,4707,2882,1,1,0,False,not_related_or_irrelevant,68,0,Client Web,True,10
451187669251280896,Wed Apr 02 02:41:37 +0000 2014,1446,1518,False,17088,2495,2,2,1,False,sympathy_and_emotional_support,149,0,MobileApp,True,12
451187669302009857,Wed Apr 02 02:41:37 +0000 2014,158,201,False,15626,1668,2,2,0,False,other_useful_information,148,0,MobileApp,True,12
451187669851467777,Wed Apr 02 02:41:37 +0000 2014,557,1960,False,67628,3133,2,0,1,False,infrastructure_and_utilities_damage,0,0,OtherSite,False,12
451187671235584000,Wed Apr 02 02:41:38 +0000 2014,13970,85,False,23697,3259,4,1,0,True,injured_or_dead_people,28,0,TweetDeck,True,13
451187671235584001,Wed Apr 02 02:41:38 +0000 2014,374830,1073,True,112282,3541,4,1,0,True,other_useful_information,28,0,TweetDeck,True,13
451187674385117185,Wed Apr 02 02:41:38 +0000 2014,6401,3798,True,28465,2843,2,1,1,True,other_useful_information,362,0,OtherSite,True,13
451187677992214528,Wed Apr 02 02:41:39 +0000 2014,340,214,False,3293,3117,2,2,1,False,other_useful_information,149,0,MobileApp,True,14
451187681817395200,Wed Apr 02 02:41:40 +0000 2014,6496,3508,True,435826,3744,1,1,0,False,caution_and_advice,9,0,TweetDeck,True,15
451187682694406144,Wed Apr 02 02:41:40 +0000 2014,4823342,5340,True,61445,2563,2,0,0,True,other_useful_information,1,0,Client Web,False,15
451187682824433664,Wed Apr 02 02:41:40 +0000 2014,485,1276,False,51790,3295,2,1,1,False,other_useful_information,362,0,OtherSite,True,15
451187684237910017,Wed Apr 02 02:41:41 +0000 2014,7545,5316,True,393325,3298,1,1,1,False,sympathy_and_emotional_support,281,0,TweetDeck,True,16
451187685227765760,Wed Apr 02 02:41:41 +0000 2014,4627,1375,False,259912,3339,2,2,0,False,other_useful_information,148,0,TweetDeck,True,16
451187686075039744,Wed Apr 02 02:41:41 +0000 2014,2460,513,False,84352,3263,2,1,0,False,sympathy_and_emotional_support,96,0,MobileApp,True,16
451187687660068864,Wed Apr 02 02:41:42 +0000 2014,102,214,True,2567,2126,2,2,1,False,other_useful_information,149,0,MobileApp,True,17
451187697910939648,Wed Apr 02 02:41:44 +0000 2014,497,585,True,5436,2789,2,1,1,False,injured_or_dead_people,44,0,MobileApp,True,19
451187697952907264,Wed Apr 02 02:41:44 +0000 2014,148,1,False,2224,3062,2,2,0,False,other_useful_information,148,0,MobileApp,True,19
451187698309406720,Wed Apr 02 02:41:44 +0000 2014,452,1416,False,7390,3008,1,1,0,False,sympathy_and_emotional_support,2,0,MobileApp,True,19
451187699374780416,Wed Apr 02 02:41:44 +0000 2014,348,292,True,24932,2405,2,2,0,False,sympathy_and_emotional_support,148,0,MobileApp,True,19
451187700436324352,Wed Apr 02 02:41:45 +0000 2014,4638,5088,True,37061,3514,1,1,1,False,sympathy_and_emotional_support,281,0,MobileApp,True,20
451187704454475776,Wed Apr 02 02:41:46 +0000 2014,59,289,True,3306,2477,3,1,0,False,other_useful_information,155,0,MobileApp,True,21
451187704928034816,Wed Apr 02 02:41:46 +0000 2014,536,718,True,8246,2371,1,1,1,False,other_useful_information,281,0,MobileApp,True,21
451187707856027648,Wed Apr 02 02:41:46 +0000 2014,388,387,True,13188,2425,2,2,0,False,caution_and_advice,148,0,OtherSite,True,21
451187710049652736,Wed Apr 02 02:41:47 +0000 2014,400,1958,True,1522,1722,1,0,0,False,sympathy_and_emotional_support,0,0,OtherSite,False,22
451187710623899648,Wed Apr 02 02:41:47 +0000 2014,162,343,False,61515,2899,3,2,1,False,caution_and_advice,227,0,UnofficialApps,True,22
451187710854967296,Wed Apr 02 02:41:47 +0000 2014,44,149,True,1204,1893,2,1,0,False,sympathy_and_emotional_support,172,0,MobileApp,True,22
451187712008003584,Wed Apr 02 02:41:47 +0000 2014,5252,5356,False,208013,2944,1,1,1,False,other_useful_information,239,0,OtherSite,True,22
451187717183795200,Wed Apr 02 02:41:49 +0000 2014,1700,3697,False,22910,3393,2,1,0,False,sympathy_and_emotional_support,0,0,MobileApp,False,24
451187718282698752,Wed Apr 02 02:41:49 +0000 2014,154,330,False,1308,1742,1,1,0,False,other_useful_information,37,0,MobileApp,True,24
451187719767474176,Wed Apr 02 02:41:49 +0000 2014,5193,1527,True,28805,3612,2,1,1,True,sympathy_and_emotional_support,362,0,TweetDeck,True,24
