TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds
540003796986773504,Wed Dec 03 04:45:12 +0000 2014,1807,581,False,17071,3332,1,2,0,False,not_related_or_irrelevant,1,0,Client Web,False,2
540003980076527619,Wed Dec 03 04:45:56 +0000 2014,2544,2127,True,34327,2967,1,3,0,False,not_related_or_irrelevant,1,0,Client Web,True,46
540004277863731200,Wed Dec 03 04:47:07 +0000 2014,190,531,False,266,1309,0,1,0,False,sympathy_and_emotional_support,101,0,Client Web,True,117
540004375112843264,Wed Dec 03 04:47:30 +0000 2014,5,120,False,5,1298,1,1,0,False,not_related_or_irrelevant,48,0,MobileApp,True,140
540004410894454784,Wed Dec 03 04:47:39 +0000 2014,5,120,False,5,1298,1,2,1,False,sympathy_and_emotional_support,4,0,MobileApp,True,149
540004464841986048,Wed Dec 03 04:47:51 +0000 2014,2321,1266,True,10559,3387,3,1,0,False,not_related_or_irrelevant,32,0,MobileApp,True,161
540004523452792833,Wed Dec 03 04:48:05 +0000 2014,34,126,True,2381,1635,3,1,0,False,sympathy_and_emotional_support,142,0,MobileApp,True,175
540005053122093056,Wed Dec 03 04:50:12 +0000 2014,13679,90,False,556472,2565,0,0,1,False,sympathy_and_emotional_support,0,0,OtherSite,False,302
540005142876000256,Wed Dec 03 04:50:33 +0000 2014,2550,53,False,1981682,2088,0,0,1,False,not_related_or_irrelevant,0,0,OtherSite,False,323
540005154871717890,Wed Dec 03 04:50:36 +0000 2014,241,72,True,103795,2563,1,0,1,False,sympathy_and_emotional_support,0,0,OtherSite,False,326
540005184252829696,Wed Dec 03 04:50:43 +0000 2014,241,72,True,103795,2563,1,0,2,False,not_related_or_irrelevant,0,0,OtherSite,False,333
540005223339528192,Wed Dec 03 04:50:52 +0000 2014,283,492,True,5056,2229,0,1,0,False,not_related_or_irrelevant,101,0,MobileApp,True,342
540005626383192064,Wed Dec 03 04:52:28 +0000 2014,8663,221,True,5925,3563,0,0,1,False,not_related_or_irrelevant,0,0,Facebook,False,438
540005679202066432,Wed Dec 03 04:52:41 +0000 2014,3504,440,False,29621,2453,0,1,0,False,sympathy_and_emotional_support,17,0,MobileWeb,True,451
540005758276882433,Wed Dec 03 04:53:00 +0000 2014,1159,450,True,2731,2087,0,2,1,True,sympathy_and_emotional_support,21,0,Client Web,True,470
540005825754832896,Wed Dec 03 04:53:16 +0000 2014,267,177,True,40040,2259,0,0,0,False,sympathy_and_emotional_support,0,0,MobileApp,False,486
540006047868780544,Wed Dec 03 04:54:09 +0000 2014,18666,23,False,977311,1992,0,0,1,False,donation_needs_or_offers_or_volunteering_services,0,0,OtherSite,False,539
540006105762385920,Wed Dec 03 04:54:23 +0000 2014,11324,277,True,1202151,2003,0,0,2,False,not_related_or_irrelevant,0,0,OtherSite,False,553
540006132572372993,Wed Dec 03 04:54:29 +0000 2014,16,96,True,316,1285,1,1,0,False,sympathy_and_emotional_support,67,0,MobileApp,True,559
540006869666787328,Wed Dec 03 04:57:25 +0000 2014,70,292,True,5000,2145,0,1,0,False,sympathy_and_emotional_support,101,0,MobileApp,True,735
540006925065523200,Wed Dec 03 04:57:38 +0000 2014,35,2,False,41165,1871,0,0,1,False,not_related_or_irrelevant,0,0,OtherSite,False,748
540007502578872320,Wed Dec 03 04:59:56 +0000 2014,9311,2810,False,70472,3177,1,1,0,False,not_related_or_irrelevant,17,0,OtherSite,True,886
540007869614018560,Wed Dec 03 05:01:23 +0000 2014,2550,53,False,1981682,2088,0,0,1,False,sympathy_and_emotional_support,0,0,OtherSite,False,973
540008163454763008,Wed Dec 03 05:02:33 +0000 2014,9311,2810,False,70472,3177,3,1,0,False,not_related_or_irrelevant,3,0,OtherSite,False,1043
540008222791176193,Wed Dec 03 05:02:47 +0000 2014,8,38,True,99,1292,2,2,0,False,sympathy_and_emotional_support,8,0,MobileApp,True,1057
540008280441892864,Wed Dec 03 05:03:01 +0000 2014,69076,290,False,8974,3300,1,1,0,False,sympathy_and_emotional_support,17,0,MobileApp,True,1071
