TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds
540003786811793408,Wed Dec 03 04:45:10 +0000 2014,1419252,397,False,90025,2865,1,0,1,True,other_useful_information,10,6,UnofficialApps,False,0
540003796986773504,Wed Dec 03 04:45:12 +0000 2014,1807,581,False,17071,3332,1,2,0,False,not_related_or_irrelevant,1,0,Client Web,False,2
540003870131232769,Wed Dec 03 04:45:30 +0000 2014,6390,2933,True,80469,2738,0,1,0,False,caution_and_advice,0,1,MobileApp,False,20
540003980076527619,Wed Dec 03 04:45:56 +0000 2014,2544,2127,True,34327,2967,1,3,0,False,not_related_or_irrelevant,1,0,Client Web,True,46
540004133265104897,Wed Dec 03 04:46:32 +0000 2014,24146,2847,True,38589,3222,1,1,0,False,other_useful_information,0,0,TweetDeck,False,82
540004223786565632,Wed Dec 03 04:46:54 +0000 2014,354,331,True,18955,3258,0,0,0,False,caution_and_advice,0,0,Tablet,False,104
540004231344693248,Wed Dec 03 04:46:56 +0000 2014,2583,2151,True,239892,2582,3,0,0,False,injured_or_dead_people,0,0,MobileApp,False,106
540004277863731200,Wed Dec 03 04:47:07 +0000 2014,190,531,False,266,1309,0,1,0,False,sympathy_and_emotional_support,101,0,Client Web,True,117
540004375112843264,Wed Dec 03 04:47:30 +0000 2014,5,120,False,5,1298,1,1,0,False,not_related_or_irrelevant,48,0,MobileApp,True,140
540004410894454784,Wed Dec 03 04:47:39 +0000 2014,5,120,False,5,1298,1,2,1,False,sympathy_and_emotional_support,4,0,MobileApp,True,149
540004462031421440,Wed Dec 03 04:47:51 +0000 2014,1638,1563,True,47954,2012,0,2,1,False,caution_and_advice,0,0,TweetDeck,False,161
540004462933204992,Wed Dec 03 04:47:51 +0000 2014,817,738,True,27075,2591,1,1,0,False,caution_and_advice,0,0,MobileApp,False,161
540004464841986048,Wed Dec 03 04:47:51 +0000 2014,2321,1266,True,10559,3387,3,1,0,False,not_related_or_irrelevant,32,0,MobileApp,True,161
540004504733622274,Wed Dec 03 04:48:01 +0000 2014,262,1069,True,34744,2885,1,1,0,False,other_useful_information,11,0,Client Web,True,171
540004523452792833,Wed Dec 03 04:48:05 +0000 2014,34,126,True,2381,1635,3,1,0,False,sympathy_and_emotional_support,142,0,MobileApp,True,175
540004553832529920,Wed Dec 03 04:48:13 +0000 2014,1137,965,True,79032,3039,7,0,1,False,injured_or_dead_people,0,0,Client Web,False,183
540004569430757376,Wed Dec 03 04:48:16 +0000 2014,57,308,False,304,2636,2,1,0,False,caution_and_advice,1,0,TweetDeck,False,186
540004575227301889,Wed Dec 03 04:48:18 +0000 2014,12,13,True,124,1416,3,0,1,False,other_useful_information,0,0,Client Web,False,188
540004650737364992,Wed Dec 03 04:48:36 +0000 2014,528,282,True,43413,3730,2,1,0,False,other_useful_information,0,0,Client Web,False,206
540004725748273152,Wed Dec 03 04:48:54 +0000 2014,9028,79,True,144599,1489,1,0,0,False,displaced_people_and_evacuations,2,0,Client Web,False,224
540004817322536960,Wed Dec 03 04:49:15 +0000 2014,33354,889,True,94470,3234,0,2,1,False,injured_or_dead_people,21,0,Tablet,True,245
540004869331881984,Wed Dec 03 04:49:28 +0000 2014,3,73,False,82,1274,1,1,0,False,caution_and_advice,10,0,Client Web,True,258
540004905558085633,Wed Dec 03 04:49:36 +0000 2014,2523,1456,True,66385,3280,0,0,0,False,caution_and_advice,1,0,Client Web,False,266
540005053122093056,Wed Dec 03 04:50:12 +0000 2014,13679,90,False,556472,2565,0,0,1,False,sympathy_and_emotional_support,0,0,OtherSite,False,302
540005067311439872,Wed Dec 03 04:50:15 +0000 2014,82,1194,False,102,1321,1,1,0,False,other_useful_information,9,0,Client Web,True,305
540005086559473666,Wed Dec 03 04:50:20 +0000 2014,3504,440,False,29621,2453,1,1,0,False,infrastructure_and_utilities_damage,0,0,MobileWeb,False,310
540005106456879104,Wed Dec 03 04:50:24 +0000 2014,11956,3195,True,40834,4093,0,1,0,True,other_useful_information,1,0,Client Web,True,314
540005142876000256,Wed Dec 03 04:50:33 +0000 2014,2550,53,False,1981682,2088,0,0,1,False,not_related_or_irrelevant,0,0,OtherSite,False,323
540005154871717890,Wed Dec 03 04:50:36 +0000 2014,241,72,True,103795,2563,1,0,1,False,sympathy_and_emotional_support,0,0,OtherSite,False,326
540005182294073344,Wed Dec 03 04:50:42 +0000 2014,241,72,True,103795,2563,1,0,1,False,other_useful_information,0,0,OtherSite,False,332
540005184252829696,Wed Dec 03 04:50:43 +0000 2014,241,72,True,103795,2563,1,0,2,False,not_related_or_irrelevant,0,0,OtherSite,False,333
540005223339528192,Wed Dec 03 04:50:52 +0000 2014,283,492,True,5056,2229,0,1,0,False,not_related_or_irrelevant,101,0,MobileApp,True,342
540005290088103936,Wed Dec 03 04:51:08 +0000 2014,5532,514,True,6446,3332,0,0,1,False,caution_and_advice,0,0,Client Web,False,358
540005291484397568,Wed Dec 03 04:51:08 +0000 2014,592,1047,True,9649,1390,2,1,0,False,caution_and_advice,128,0,MobileApp,True,358
540005329137053696,Wed Dec 03 04:51:17 +0000 2014,87,145,False,1910,2463,0,0,1,False,caution_and_advice,0,0,Facebook,False,367
540005399227666432,Wed Dec 03 04:51:34 +0000 2014,777,49,False,18672,1711,0,0,1,False,injured_or_dead_people,0,0,Facebook,False,384
540005464767877120,Wed Dec 03 04:51:50 +0000 2014,35,146,False,3033,2665,0,0,1,False,caution_and_advice,0,0,Facebook,False,400
540005564948836352,Wed Dec 03 04:52:14 +0000 2014,224,63,False,69957,1586,1,0,2,False,caution_and_advice,0,0,OtherSite,False,424
540005581373710336,Wed Dec 03 04:52:18 +0000 2014,356,96,True,10320,2523,2,1,0,False,other_useful_information,102,0,MobileApp,True,428
540005626383192064,Wed Dec 03 04:52:28 +0000 2014,8663,221,True,5925,3563,0,0,1,False,not_related_or_irrelevant,0,0,Facebook,False,438
540005633072705536,Wed Dec 03 04:52:30 +0000 2014,208,634,True,33378,2498,0,0,1,False,other_useful_information,0,0,Facebook,False,440
540005679202066432,Wed Dec 03 04:52:41 +0000 2014,3504,440,False,29621,2453,0,1,0,False,sympathy_and_emotional_support,17,0,MobileWeb,True,451
