TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds
498497663609085955,Sun Aug 10 15:54:39 +0000 2014,315,1210,True,4343,2399,0,0,0,False,injured_or_dead_people,0,1,MobileApp,False,0
498497681036025856,Sun Aug 10 15:54:43 +0000 2014,3971,425,False,250341,3017,1,1,0,False,injured_or_dead_people,3,0,Client Web,True,4
498497696949235712,Sun Aug 10 15:54:47 +0000 2014,8,20,False,27,1892,3,0,0,False,injured_or_dead_people,0,0,Client Web,False,8
498497723600211968,Sun Aug 10 15:54:53 +0000 2014,347,935,False,1227,3335,0,1,1,False,not_related_or_irrelevant,2,0,MobileApp,True,14
498497744609488896,Sun Aug 10 15:54:58 +0000 2014,156,1153,True,17907,3250,1,2,1,False,injured_or_dead_people,17,0,MobileApp,True,19
498497760543653889,Sun Aug 10 15:55:02 +0000 2014,2594,297,False,124615,2718,0,1,1,False,injured_or_dead_people,2,0,OtherSite,False,23
498497771918614528,Sun Aug 10 15:55:05 +0000 2014,1775,3386,False,32122,2833,0,2,0,False,injured_or_dead_people,2,0,MobileApp,True,26
498497779606781952,Sun Aug 10 15:55:06 +0000 2014,1979,1735,True,282784,2398,0,1,1,False,injured_or_dead_people,2,0,Client Web,True,27
498497788519657472,Sun Aug 10 15:55:09 +0000 2014,149,401,False,1312,1673,5,0,1,False,injured_or_dead_people,0,0,UnofficialApps,False,30
498497823802159104,Sun Aug 10 15:55:17 +0000 2014,10,0,False,536069,1965,2,0,1,False,other_useful_information,0,0,OtherSite,False,38
498497845067259905,Sun Aug 10 15:55:22 +0000 2014,78,0,False,13373,2927,2,0,1,False,injured_or_dead_people,0,0,OtherSite,False,43
498497845880963072,Sun Aug 10 15:55:22 +0000 2014,122417,366,True,118299,3413,0,1,1,True,other_useful_information,0,0,OtherSite,False,43
498497848196218880,Sun Aug 10 15:55:23 +0000 2014,9376,10,False,37410,3413,0,1,1,True,injured_or_dead_people,2,0,OtherSite,False,44
498497852796973056,Sun Aug 10 15:55:24 +0000 2014,103,216,True,8094,2832,0,0,1,False,injured_or_dead_people,0,0,Instagram,False,45
498497854626078722,Sun Aug 10 15:55:24 +0000 2014,419,783,False,2090,1720,1,1,1,False,injured_or_dead_people,73,0,MobileApp,True,45
498497857981145088,Sun Aug 10 15:55:25 +0000 2014,3572,454,True,28772,2878,0,1,0,False,injured_or_dead_people,0,0,MobileApp,False,46
498497890835505153,Sun Aug 10 15:55:33 +0000 2014,1586,622,False,33170,3787,1,0,0,False,displaced_people_and_evacuations,1,0,MobileApp,False,54
498497893415018497,Sun Aug 10 15:55:34 +0000 2014,1356,732,True,325246,2548,1,1,1,False,injured_or_dead_people,42,0,MobileApp,True,55
498497954681192448,Sun Aug 10 15:55:48 +0000 2014,450,927,False,3310,2689,1,2,0,False,injured_or_dead_people,13,0,MobileApp,True,69
498497964202274818,Sun Aug 10 15:55:50 +0000 2014,290,127,False,193028,2884,0,2,1,False,injured_or_dead_people,2,0,OtherSite,True,71
498497964461916161,Sun Aug 10 15:55:51 +0000 2014,2201,0,False,248537,2333,1,0,1,False,injured_or_dead_people,0,0,Twitterfeed,False,72
498497974960275456,Sun Aug 10 15:55:53 +0000 2014,843,526,True,43556,3064,1,1,0,False,injured_or_dead_people,3,0,OtherSite,True,74
498497977561133056,Sun Aug 10 15:55:54 +0000 2014,156,5,False,119498,1405,0,0,1,False,donation_needs_or_offers_or_volunteering_services,0,0,Facebook,False,75
498497995214573568,Sun Aug 10 15:55:58 +0000 2014,589,341,False,157286,2973,1,1,0,False,injured_or_dead_people,5,0,OtherSite,True,79
498498004396290049,Sun Aug 10 15:56:00 +0000 2014,793,1666,False,4046,1578,0,1,0,False,injured_or_dead_people,154,0,MobileApp,True,81
498498042157608961,Sun Aug 10 15:56:09 +0000 2014,24400,271,True,81969,1710,0,1,0,False,injured_or_dead_people,0,0,Tablet,False,90
498498079721799680,Sun Aug 10 15:56:18 +0000 2014,103,77,False,28174,1649,0,1,1,False,injured_or_dead_people,25,0,MobileApp,True,99
498498102870147072,Sun Aug 10 15:56:24 +0000 2014,10,0,False,536069,1965,2,0,1,False,other_useful_information,0,0,OtherSite,False,105
498498108616351744,Sun Aug 10 15:56:25 +0000 2014,139,179,False,6475,2431,0,1,0,False,injured_or_dead_people,0,0,MobileApp,False,106
498498119097937920,Sun Aug 10 15:56:27 +0000 2014,201,212,False,794,1402,0,0,0,False,injured_or_dead_people,0,0,Client Web,False,108
498498124784992256,Sun Aug 10 15:56:29 +0000 2014,22,64,False,266,2230,0,1,0,False,injured_or_dead_people,154,0,MobileApp,True,110
498498134096773121,Sun Aug 10 15:56:31 +0000 2014,1775,3386,False,32122,2833,0,1,1,False,injured_or_dead_people,2,0,MobileApp,True,112
498498145563582464,Sun Aug 10 15:56:34 +0000 2014,9,7,False,128,2272,0,0,0,False,donation_needs_or_offers_or_volunteering_services,0,0,Facebook,False,115
498498158788616192,Sun Aug 10 15:56:37 +0000 2014,2040,1106,True,56350,2351,0,0,0,False,injured_or_dead_people,0,0,MobileApp,False,118
