TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds
591902695822331904,Sat Apr 25 09:52:54 +0000 2015,381,617,False,82089,3017,2,1,1,False,infrastructure_and_utilities_damage,8,0,MobileApp,True,0
591902695943843840,Sat Apr 25 09:52:54 +0000 2015,850,307,True,33569,1735,0,1,0,False,injured_or_dead_people,10567,0,MobileApp,True,0
591902696371724288,Sat Apr 25 09:52:54 +0000 2015,1410,1875,False,2935,1471,1,1,1,False,missing_trapped_or_found_people,162,0,MobileApp,True,0
591902696375877632,Sat Apr 25 09:52:54 +0000 2015,4427,265,True,83872,1500,0,1,0,False,sympathy_and_emotional_support,77,0,Client Web,True,0
591902696895950848,Sat Apr 25 09:52:54 +0000 2015,3490,77,True,9322,1239,3,0,0,False,sympathy_and_emotional_support,15,12,MobileApp,False,0
591902697248333825,Sat Apr 25 09:52:54 +0000 2015,5,41,False,40,2365,0,1,0,False,infrastructure_and_utilities_damage,557,0,MobileApp,True,0
591902697395064832,Sat Apr 25 09:52:54 +0000 2015,33790,60,True,61429,2921,1,0,0,False,other_useful_information,12,2,MobileApp,False,0
591902697478967296,Sat Apr 25 09:52:54 +0000 2015,18935,226,True,91622,2974,0,0,0,False,donation_needs_or_offers_or_volunteering_services,4,0,TweetDeck,False,0
591902697487405056,Sat Apr 25 09:52:54 +0000 2015,53574,912,False,280467,3411,0,0,0,True,displaced_people_and_evacuations,3,1,TweetDeck,False,0
591902697848078336,Sat Apr 25 09:52:54 +0000 2015,3684,4715,False,37277,3040,0,0,1,False,donation_needs_or_offers_or_volunteering_services,0,0,Facebook,False,0
591902698036797440,Sat Apr 25 09:52:54 +0000 2015,205,25,True,285789,1846,0,0,1,False,infrastructure_and_utilities_damage,0,0,Twitterfeed,False,0
591902698254958592,Sat Apr 25 09:52:54 +0000 2015,745,99,True,5177,1186,1,1,0,False,sympathy_and_emotional_support,12576,0,MobileApp,True,0
591902698502520832,Sat Apr 25 09:52:55 +0000 2015,435,281,False,41962,1691,0,1,0,False,other_useful_information,1883,0,MobileApp,True,1
591902698552832000,Sat Apr 25 09:52:55 +0000 2015,5884,4403,False,21122,3205,0,0,1,True,injured_or_dead_people,2,0,Instagram,False,1
591902698594701314,Sat Apr 25 09:52:55 +0000 2015,2048,627,True,113791,3388,1,1,0,False,donation_needs_or_offers_or_volunteering_services,4,0,Client Web,True,1
591902698800295936,Sat Apr 25 09:52:55 +0000 2015,504,721,False,47048,2629,1,1,1,False,sympathy_and_emotional_support,2745,0,TweetDeck,True,1
591902698879856640,Sat Apr 25 09:52:55 +0000 2015,1533,307,True,78308,2230,0,1,0,False,other_useful_information,10567,0,MobileApp,True,1
591902699307708416,Sat Apr 25 09:52:55 +0000 2015,65,434,False,1968,1599,0,1,1,False,sympathy_and_emotional_support,29,0,MobileApp,True,1
591902699580428289,Sat Apr 25 09:52:55 +0000 2015,1314,1312,True,560007,2421,0,0,1,False,missing_trapped_or_found_people,0,0,OtherSite,False,1
591902700037656576,Sat Apr 25 09:52:55 +0000 2015,2331,577,False,209647,2376,0,0,1,False,sympathy_and_emotional_support,43,0,MobileApp,True,1
591902700108980225,Sat Apr 25 09:52:55 +0000 2015,8,121,False,131,2435,1,0,0,False,other_useful_information,0,0,MobileWeb,False,1
591902701711065088,Sat Apr 25 09:52:55 +0000 2015,944,210,True,7586,2375,1,1,0,False,other_useful_information,31,0,MobileApp,True,1
591902701727850496,Sat Apr 25 09:52:55 +0000 2015,522,1481,True,47201,2694,1,1,0,False,sympathy_and_emotional_support,4,0,MobileApp,True,1
591902701904101377,Sat Apr 25 09:52:55 +0000 2015,1650,4217,True,10159,3301,3,1,1,False,donation_needs_or_offers_or_volunteering_services,1,0,MobileApp,True,1
591902701967007744,Sat Apr 25 09:52:55 +0000 2015,74,305,False,3145,1324,2,0,0,False,donation_needs_or_offers_or_volunteering_services,0,0,Client Web,False,1
591902702285664256,Sat Apr 25 09:52:55 +0000 2015,370,346,True,103806,2899,1,2,0,False,donation_needs_or_offers_or_volunteering_services,367,0,MobileApp,True,1
591902704454258689,Sat Apr 25 09:52:56 +0000 2015,130,143,False,17819,3237,2,1,0,False,donation_needs_or_offers_or_volunteering_services,2,0,OtherSite,True,2
591902704592523265,Sat Apr 25 09:52:56 +0000 2015,132,709,True,7343,3067,0,1,0,False,other_useful_information,73,0,MobileApp,True,2
