TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,Source,isRetweet,DeltaSeconds
575736037986578433,Wed Mar 11 19:12:22 +0000 2015,1400,4916,True,3007,1205,1,1,0,False,injured_or_dead_people,0,0,MobileApp,False,0
575736076087644160,Wed Mar 11 19:12:31 +0000 2015,423896,483,True,40888,3584,1,0,0,True,other_useful_information,6,1,TweetDeck,False,9
575736131817369601,Wed Mar 11 19:12:45 +0000 2015,1616,361,True,9175,1701,2,0,0,True,other_useful_information,21,0,Tablet,True,23
575736147046834176,Wed Mar 11 19:12:48 +0000 2015,1400,4916,True,3007,1205,1,1,0,False,infrastructure_and_utilities_damage,7,0,MobileApp,True,26
575736273350098944,Wed Mar 11 19:13:18 +0000 2015,1816,391,True,258411,2452,0,1,0,False,not_related_or_irrelevant,2,0,MobileApp,True,56
575736292618563584,Wed Mar 11 19:13:23 +0000 2015,3966,104,True,5697,1491,2,0,0,True,other_useful_information,21,0,Tablet,True,61
575736345332600832,Wed Mar 11 19:13:36 +0000 2015,836,630,True,10881,1211,1,2,1,False,not_related_or_irrelevant,22,0,MobileApp,True,74
575736452413136897,Wed Mar 11 19:14:01 +0000 2015,1057,104,False,4378,3389,0,0,1,False,donation_needs_or_offers_or_volunteering_services,1,0,Twitterfeed,False,99
575736502006603776,Wed Mar 11 19:14:13 +0000 2015,270,0,False,34145,2665,0,0,1,False,injured_or_dead_people,0,0,OtherSite,False,111
575736544465580033,Wed Mar 11 19:14:23 +0000 2015,518,1930,False,1983,2221,2,1,0,False,infrastructure_and_utilities_damage,1,0,TweetDeck,True,121
575736623708532736,Wed Mar 11 19:14:42 +0000 2015,88249,2177,True,33743,2641,4,0,0,True,donation_needs_or_offers_or_volunteering_services,3,3,Client Web,False,140
575736634190270465,Wed Mar 11 19:14:44 +0000 2015,6029,272,True,324089,1798,1,1,0,False,other_useful_information,0,0,Tablet,False,142
575736643191246848,Wed Mar 11 19:14:47 +0000 2015,597,684,False,97273,3032,1,0,1,False,not_related_or_irrelevant,0,0,OtherSite,False,145
575736693820514304,Wed Mar 11 19:14:59 +0000 2015,5375,22,False,23687,3373,0,0,1,False,other_useful_information,1,0,Facebook,False,157
575736803677761536,Wed Mar 11 19:15:25 +0000 2015,189993,370,True,59440,3233,3,0,1,True,caution_and_advice,3,0,Client Web,False,183
575736838293426176,Wed Mar 11 19:15:33 +0000 2015,28281,180,True,1142591,1898,1,0,1,False,not_related_or_irrelevant,0,0,OtherSite,False,191
575736933755805696,Wed Mar 11 19:15:56 +0000 2015,2380,1803,True,304844,2541,0,1,0,False,infrastructure_and_utilities_damage,2,0,MobileApp,True,214
575736980966785024,Wed Mar 11 19:16:07 +0000 2015,3857,4188,False,676682,1657,0,1,0,False,other_useful_information,3,0,OtherSite,True,225
575737015599259648,Wed Mar 11 19:16:15 +0000 2015,720,231,False,91884,3326,1,3,1,False,donation_needs_or_offers_or_volunteering_services,7,0,MobileApp,True,233
575737024310697984,Wed Mar 11 19:16:17 +0000 2015,285,452,True,16086,2308,1,2,0,False,other_useful_information,7,0,MobileApp,True,235
575737043071930368,Wed Mar 11 19:16:22 +0000 2015,294,510,False,1400,1658,2,0,0,False,other_useful_information,21,0,Client Web,True,240
575737048994217984,Wed Mar 11 19:16:23 +0000 2015,729,2870,True,5759,2984,3,0,0,False,other_useful_information,0,0,MobileApp,False,241
575737189646090240,Wed Mar 11 19:16:57 +0000 2015,289,726,True,5515,1386,4,1,0,False,not_related_or_irrelevant,3,0,MobileApp,True,275
575737292913963008,Wed Mar 11 19:17:21 +0000 2015,3857,4188,False,676682,1657,0,1,0,False,other_useful_information,1,0,OtherSite,True,299
575737350430420992,Wed Mar 11 19:17:35 +0000 2015,98,225,False,971,1700,1,3,1,False,not_related_or_irrelevant,7,0,MobileApp,True,313
575737382969962496,Wed Mar 11 19:17:43 +0000 2015,3727,183,False,88282,2004,0,1,1,False,sympathy_and_emotional_support,7,0,Client Web,True,321
575737419057618944,Wed Mar 11 19:17:52 +0000 2015,1707,3415,True,56664,2330,0,1,1,False,other_useful_information,7,0,Tablet,True,330
575737437428707328,Wed Mar 11 19:17:56 +0000 2015,21,0,False,24637,3344,0,0,1,False,other_useful_information,0,0,Twitterfeed,False,334
575737616244543488,Wed Mar 11 19:18:39 +0000 2015,26,2,False,1673,1460,0,0,1,False,not_related_or_irrelevant,0,0,Facebook,False,377
575737639497682944,Wed Mar 11 19:18:44 +0000 2015,52,253,False,26112,1433,0,0,1,False,other_useful_information,0,0,OtherSite,False,382
575737656388251649,Wed Mar 11 19:18:48 +0000 2015,757,1575,True,92841,1981,1,0,1,False,not_related_or_irrelevant,0,0,OtherSite,False,386
575737691179868160,Wed Mar 11 19:18:56 +0000 2015,1719,952,False,557455,1346,3,0,1,False,sympathy_and_emotional_support,0,0,Twitterfeed,False,394
575737709605613569,Wed Mar 11 19:19:01 +0000 2015,3003,188,True,10188,2379,0,0,1,False,other_useful_information,1,0,Facebook,False,399
575737716765159424,Wed Mar 11 19:19:03 +0000 2015,173,197,True,11415,2885,1,3,1,False,injured_or_dead_people,7,0,MobileApp,True,401
575737721320243200,Wed Mar 11 19:19:04 +0000 2015,409,859,False,893,2718,0,1,0,False,caution_and_advice,2,0,Client Web,True,402
575737826702135297,Wed Mar 11 19:19:29 +0000 2015,70,137,True,11504,2078,4,1,0,False,donation_needs_or_offers_or_volunteering_services,3,0,MobileApp,True,427
575737841344495618,Wed Mar 11 19:19:32 +0000 2015,43,1,False,14499,2461,0,0,1,False,infrastructure_and_utilities_damage,0,0,Facebook,False,430
575737842325929984,Wed Mar 11 19:19:32 +0000 2015,149,357,True,4892,1218,5,1,1,False,donation_needs_or_offers_or_volunteering_services,13,0,MobileApp,True,430
575737866698911745,Wed Mar 11 19:19:38 +0000 2015,354,690,True,24509,1381,0,1,1,False,donation_needs_or_offers_or_volunteering_services,6,0,MobileApp,True,436
575737885971742720,Wed Mar 11 19:19:43 +0000 2015,414,12,False,42930,1786,1,1,0,False,not_related_or_irrelevant,6,0,Client Web,True,441
575737898231693313,Wed Mar 11 19:19:46 +0000 2015,3986,4143,True,25468,3711,0,0,1,False,donation_needs_or_offers_or_volunteering_services,0,0,OtherSite,False,444
575737966582108161,Wed Mar 11 19:20:02 +0000 2015,299,510,True,1166,2533,1,3,1,False,not_related_or_irrelevant,8,0,Client Web,True,460
