TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,nRetweets,nLikes,Source,isRetweet,Text,InfoSource,InfoType,Informativeness,DeltaSeconds
376843697943769088,Sun Sep 08 23:05:13 +0000 2013,4077,2204,False,378487,2230,4,0,1,False,0,0,OtherSite,False,#Longmont #CO The Tiny Tim Center is now #hiring. Book Keeper http://t.co/l4m5iSOmTw #tweetmyjobs,Not labeled,Not labeled,Not related,-278347
378011169883037697,Thu Sep 12 04:24:20 +0000 2013,374,252,False,26558,3230,0,2,1,False,10,0,Client Web,True,"RT @dlfluegge: Crazy Flooding in Boulder, Colorado http://t.co/sg0iIdqCeY via @youtube",Media,Sympathy and support,Related - but not informative,0
378020179214491649,Thu Sep 12 05:00:08 +0000 2013,203,160,True,2215,2936,2,0,1,False,3,0,MobileApp,False,Here's the #boulderflood video that's circulating around. Right in my old neighborhood west of CU! #StaySafe  http://t.co/eMPbOeBk7M”,Outsiders,Other Useful Information,Related and informative,2148
378026101588496385,Thu Sep 12 05:23:40 +0000 2013,634,300,False,1398,2674,0,1,1,False,3,0,Client Web,True,RT @passantino: Video: Severe flooding hits near Univ. of Colorado at Boulder http://t.co/7jkJogCjDH,Media,Other Useful Information,Related and informative,3560
378029784204206080,Thu Sep 12 05:38:18 +0000 2013,232,56,True,14147,2977,0,0,1,False,0,3,OtherSite,False,"Crazy Flooding in Boulder, Colorado http://t.co/3IgoyaAfWE",Media,Other Useful Information,Related and informative,4438
378038458024865792,Thu Sep 12 06:12:46 +0000 2013,215,1195,True,661,3029,1,0,0,False,5,4,Tablet,False,Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood,Outsiders,Sympathy and support,Related - but not informative,6506
378042534863192064,Thu Sep 12 06:28:58 +0000 2013,1412,16,False,20431,3494,2,1,0,False,0,0,MobileApp,False,what... “@AmyZPhD: @JuggleGod They are saying South Boulder Creek near Eldo Sprgs is past #100yearflood levels #boulderflood”,Outsiders,Other Useful Information,Related and informative,7478
378045630251147265,Thu Sep 12 06:41:16 +0000 2013,83,284,False,1842,3421,2,1,1,False,36,0,MobileApp,True,RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood,Media,Infrastructure and utilities,Related and informative,8216
378046271996440576,Thu Sep 12 06:43:49 +0000 2013,956,1730,True,35698,1774,1,1,0,False,1,0,MobileApp,True,RT @BoulderCh1News: scanner #boulderflood reports Lee Road rock slide road is closed,Media,Infrastructure and utilities,Related and informative,8369
378047710659502080,Thu Sep 12 06:49:32 +0000 2013,1437,2437,False,65832,3715,1,1,0,False,6,0,Tweetbot,True,"RT @elaine: With the #Boulderflood, remember to check and trust your sources before you Retweet. Don't go around spreading false informatio…",Outsiders,Caution and advice,Related - but not informative,8712
378049119924674561,Thu Sep 12 06:55:08 +0000 2013,62,112,True,2853,2460,3,1,0,False,1,0,Client Web,True,RT @ShoutSteph: And I thought living on boulder creek would be a good thing... #flashflood #boulderflood #bouldercreek http://t.co/fe1LuXPp…,Eyewitness,Other Useful Information,Related - but not informative,9048
