TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,nRetweets,nLikes,Source,isRetweet,Text,InfoSource,InfoType,Informativeness,DeltaSeconds
293071229055799297,Sun Jan 20 19:03:20 +0000 2013,4605,256,False,5175,2356,2,0,1,False,0,0,TweetDeck,False,VIDEO - A world of contrasts. We freeze whilst Australia swelters &amp; is threatened by flash floods: http://t.co/JPSx1mLv #weather #geography,Outsiders,Affected individuals,Related - but not informative,0
293186081652871169,Mon Jan 21 02:39:43 +0000 2013,1480,1892,False,258038,3433,0,0,1,False,0,0,Twitterfeed,False,Probe opens way for Queensland floods class action - The Australian: Brisbane TimesProbe opens way for Queenslan... http://t.co/JqtGOnlY,Media,Affected individuals,Related and informative,27383
293237197652520960,Mon Jan 21 06:02:50 +0000 2013,36,45,True,517,2576,1,1,1,False,19,0,OtherSite,True,RT @cycloneupdate: Predicted rainfall over the next 48 hours in FNQ. It's gonna get very wet.#bigwet http://t.co/Kl3aR7E8,Media,Caution and advice,Related and informative,39570
293253358318391297,Mon Jan 21 07:07:03 +0000 2013,249,1161,True,2738,3349,0,1,1,False,11,0,MobileApp,True,RT @abcnews: Thousands of Queensland flood victims join possible class action against State Government http://t.co/Z0gNZRB3,Media,Other Useful Information,Related and informative,43423
293266591339147264,Mon Jan 21 07:59:38 +0000 2013,2185,1208,True,32148,3223,1,1,1,False,1,0,MobileApp,True,RT @QLDOnline: Qld floods class action 'could set record' http://t.co/FGWVocFO #qld,Media,Other Useful Information,Related and informative,46578
293803277689180160,Tue Jan 22 19:32:14 +0000 2013,1738,1661,True,7741,3190,0,0,1,False,0,0,Twitterfeed,False,Queensland flood victims join action against Government: -- Delivered by Feed43 service http://t.co/vQXafWmL,Outsiders,Affected individuals,Related and informative,174534
293846957166833664,Tue Jan 22 22:25:48 +0000 2013,13133,142,False,4953,3365,2,0,0,False,4,0,TweetDeck,False,Current centre of Ex-TC Oswald is 40km WNW of Cooktown and moving in a SSE direction at about 18 kilometres per hour. #bigwet #qld,Media,Caution and advice,Related and informative,184948
293904771461562368,Wed Jan 23 02:15:32 +0000 2013,2097,17,False,804,3167,1,1,0,False,5,0,Client Web,True,RT @QPSmedia: #bigwet Bruce H'Way Tully to Silky Oak closed.,Media,Infrastructure and utilities,Related and informative,198732
293905736172457984,Wed Jan 23 02:19:22 +0000 2013,9,64,False,41,3245,1,1,0,False,5,0,MobileApp,True,RT @QPSmedia: #bigwet Bruce H'Way Tully to Silky Oak closed.,Media,Infrastructure and utilities,Related and informative,198962
293925403238748161,Wed Jan 23 03:37:31 +0000 2013,7,0,False,13249,2229,2,0,1,False,0,0,Twitterfeed,False,"#QLD  Police: #bigwet Bruce H'Way near Mobil Service Station &amp; Butler St, Tully... http://t.co/pNxFvjoC",Government,Caution and advice,Related and informative,203651
