TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,nRetweets,nLikes,Source,isRetweet,Text,InfoSource,InfoType,Informativeness,DeltaSeconds
406495271334719488,Fri Nov 29 18:49:59 +0000 2013,170,162,True,6315,2424,2,0,1,False,0,0,Instagram,False,My car air freshener is better than yours #helicopter #bigkid http://t.co/QWTLwABs8r,Not labeled,Not labeled,Not related,-13980
406553907700449280,Fri Nov 29 22:42:59 +0000 2013,390,1069,False,5803,2403,0,1,0,False,234,0,MobileApp,True,"RT @jimmurphymp: Terrible here in Glasgow
Helicopter crashed into roof of pub",Outsiders,Other Useful Information,Related and informative,0
406555220513394688,Fri Nov 29 22:48:12 +0000 2013,1999,2041,False,109742,2557,0,1,1,False,11,0,Client Web,True,RT @BabaWho: Helicopter 'crashes into pub in Glasgow' http://t.co/XBScbvZD3x THE CLUTHA BAR,Media,Other Useful Information,Related and informative,313
406555392492462080,Fri Nov 29 22:48:53 +0000 2013,2124,2356,True,42845,2944,0,1,0,False,141,0,Tweetbot,True,RT @ScottishSun: BREAKING: A helicopter has crashed in to the roof of a Glasgow City Centre pub. More to follow.,Media,Other Useful Information,Related and informative,354
406555799344136193,Fri Nov 29 22:50:30 +0000 2013,130,81,False,1823,2022,0,1,0,False,230,0,MobileApp,True,RT @SkyNewsBreak: Labour MP Jim Murphy says a helicopter has crashed into the roof of a pub in Glasgow,Media,Infrastructure and utilities,Related and informative,451
406557414130212864,Fri Nov 29 22:56:55 +0000 2013,6057,6140,True,3158,2316,0,0,0,False,1,2,MobileApp,False,Wtf a helicopter has crashed in a pub in Glasgow? ????? The Clutha or suhin at the clyde side,Outsiders,Infrastructure and utilities,Related - but not informative,836
406557539992875008,Fri Nov 29 22:57:25 +0000 2013,406,1314,True,4642,2493,0,1,0,False,496,0,MobileApp,True,RT @SkyNewsBreak: Update - Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow,Media,Affected individuals,Related and informative,866
406557728715591680,Fri Nov 29 22:58:10 +0000 2013,1643,3209,True,24458,3235,0,0,0,False,0,0,MobileApp,False,Helicopter crash in Glasgow not sounding good :(,Outsiders,Sympathy and support,Related - but not informative,911
406557741314879488,Fri Nov 29 22:58:13 +0000 2013,23346,11229,False,372287,2187,0,1,1,False,846,0,TweetDeck,True,"RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi",Media,Other Useful Information,Related and informative,914
406557946819379200,Fri Nov 29 22:59:02 +0000 2013,1509,2405,True,24036,2285,0,2,0,False,31,0,MobileApp,True,"RT @sportingintel: A helicopter has apparently crashed into a bar in Glasgow, the Clutha. Updates via @scotscribbler and others.",Outsiders,Infrastructure and utilities,Related and informative,963
406557955228585984,Fri Nov 29 22:59:04 +0000 2013,986,4424,True,21782,1744,1,1,0,False,0,0,MobileApp,False,"""@AFP: #BREAKING Helicopter crashes into pub in Scottish city of Glasgow: lawmaker, witnesses""",Media,Other Useful Information,Related and informative,965
406557992952143872,Fri Nov 29 22:59:13 +0000 2013,2362,185,True,32034,2671,0,0,1,False,0,0,Twitterfeed,False,"Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Mu... http://t.co/g5Qs4lUsiL",Media,Other Useful Information,Related and informative,974
406558303339413504,Fri Nov 29 23:00:27 +0000 2013,118,220,True,1188,2224,0,1,1,False,846,0,MobileApp,True,"RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi",Media,Infrastructure and utilities,Related and informative,1048
406558320137609216,Fri Nov 29 23:00:31 +0000 2013,61,273,False,7624,2149,0,1,1,False,0,0,TweetDeck,False,"RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/NNxDUxJimz",Media,Infrastructure and utilities,Related and informative,1052
406558555018645504,Fri Nov 29 23:01:27 +0000 2013,639,2018,False,34665,2197,1,1,0,False,46,0,MobileApp,True,"RT @AFP: #BREAKING Helicopter crashes into pub in Scottish city of Glasgow: lawmaker, witnesses",Media,Infrastructure and utilities,Related and informative,1108
406558559187779584,Fri Nov 29 23:01:28 +0000 2013,47,223,False,501,1813,0,1,0,False,4,0,MobileApp,True,"RT @glabreakingnews: Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim... http://…",Media,Other Useful Information,Related and informative,1109
406558630490943488,Fri Nov 29 23:01:45 +0000 2013,1367,1420,True,31462,3388,1,0,0,False,0,0,Tablet,False,Hopefully everyone OK after the #Clutha Vaults Helicopter crash. Looks at least like the roters aren't inside the pub.,Outsiders,Other Useful Information,Related - but not informative,1126
406559091851808768,Fri Nov 29 23:03:35 +0000 2013,1956,3081,True,41295,2485,0,0,1,False,0,0,OtherSite,False,"Helicopter crashes into Glasgow pub

Shit! This ain't good  http://t.co/PtUUiVuiJI",Outsiders,Infrastructure and utilities,Related - but not informative,1236
406559133807431680,Fri Nov 29 23:03:45 +0000 2013,896,1571,True,12563,2638,0,2,0,False,146,0,MobileApp,True,RT @BreakingNews: Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak,Media,Affected individuals,Related and informative,1246
406559205110595584,Fri Nov 29 23:04:02 +0000 2013,161,564,False,1282,3058,0,0,0,False,0,0,MobileApp,False,Reports suggest police helicopter involved in Glasgow crash,Outsiders,Other Useful Information,Related and informative,1263
406559272223666176,Fri Nov 29 23:04:18 +0000 2013,43,105,False,80,2662,2,1,1,False,756,0,Client Web,True,RT @BBCBreaking: Glasgow #helicopter crash: Many people injured at #Clutha Vaults in Stockwell Street http://t.co/p8zlvFNAFH,Media,Affected individuals,Related and informative,1279
406559368684249088,Fri Nov 29 23:04:41 +0000 2013,3196,4998,False,93474,1787,0,2,0,False,146,0,Tablet,True,RT @BreakingNews: Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak,Media,Affected individuals,Related and informative,1302
406559557457305600,Fri Nov 29 23:05:26 +0000 2013,9376,3909,False,46957,3312,0,1,0,False,496,0,Client Web,True,RT @SkyNewsBreak: Update - Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow,Media,Affected individuals,Related and informative,1347
406559658087047168,Fri Nov 29 23:05:50 +0000 2013,1167,1101,False,19507,3389,2,1,0,False,6,0,UnofficialApps,True,RT @garethoconnor: A helicopter has crashed into the roof of a pub in #Glasgow #Scotland,Outsiders,Infrastructure and utilities,Related and informative,1371
406559930725179392,Fri Nov 29 23:06:55 +0000 2013,1761,2863,False,13654,3044,0,1,0,False,827,0,Client Web,True,RT @crushtina: Helicopter crash into Clutha. Praying they'll get everyone out. http://t.co/Me3fQIAsBS,Outsiders,Sympathy and support,Related and informative,1436
406560144647258112,Fri Nov 29 23:07:46 +0000 2013,1711,1585,True,109730,3421,0,1,0,False,827,0,Client Web,True,RT @crushtina: Helicopter crash into Clutha. Praying they'll get everyone out. http://t.co/Me3fQIAsBS,Outsiders,Sympathy and support,Related - but not informative,1487
406560320795066368,Fri Nov 29 23:08:28 +0000 2013,203,399,False,6235,2095,2,1,1,False,643,0,Client Web,True,"RT @BBCBreaking: People being ""pulled out"" of #Clutha pub after Glasgow #helicopter crash, eyewitness tells BBC News http://t.co/G4Yr6fuODv",Media,Affected individuals,Related and informative,1529
406561008648736768,Fri Nov 29 23:11:12 +0000 2013,3334,3601,False,471532,4044,0,1,1,False,1,0,OtherSite,False,D: RT @itvnews: Reports of multiple injuries at the Clutha pub in Glasgow where a helicopter has crashed onto roof http://t.co/fd6yqCNUx1,Media,Affected individuals,Related and informative,1693
406561662976937986,Fri Nov 29 23:13:48 +0000 2013,141,641,False,2435,2341,2,2,0,False,245,0,MobileApp,True,RT @frasereC4: “@rupertgmorris: Helicopter crashes into busy bar in #glasgow #clutha http://t.co/Yvb38I4Dd1” Incredible picture,Media,Infrastructure and utilities,Related and informative,1849
406561889481924608,Fri Nov 29 23:14:42 +0000 2013,676,737,True,26534,3173,0,0,0,False,3,0,Client Web,True,"RT @_Chris1312: Canny believe a helicopter crashed into a roof of a pub in Glasgow, that's too major",Outsiders,Sympathy and support,Related - but not informative,1903
406562271138422784,Fri Nov 29 23:16:13 +0000 2013,247,149,False,12020,2314,2,1,1,False,643,0,MobileApp,True,"RT @BBCBreaking: People being ""pulled out"" of #Clutha pub after Glasgow #helicopter crash, eyewitness tells BBC News http://t.co/G4Yr6fuODv",Media,Affected individuals,Related and informative,1994
406562522805071873,Fri Nov 29 23:17:13 +0000 2013,2534,985,True,63162,2496,0,1,1,False,202,0,MobileApp,True,RT @STVNews: Helicopter 'crashes into roof of bar' in Glasgow city centre http://t.co/FBhpbpcXfY,Media,Infrastructure and utilities,Related and informative,2054
406562665415598080,Fri Nov 29 23:17:47 +0000 2013,636,1447,True,2076,3368,0,1,1,False,202,0,MobileApp,True,RT @STVNews: Helicopter 'crashes into roof of bar' in Glasgow city centre http://t.co/FBhpbpcXfY,Media,Infrastructure and utilities,Related and informative,2088
406562812236820480,Fri Nov 29 23:18:22 +0000 2013,3150,250,True,375618,3562,0,0,1,False,0,0,Twitterfeed,False,HEADLINES Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Cly... http://t.co/okMLt9iuI5 Follow Warren,Media,Infrastructure and utilities,Related and informative,2123
406562929665134592,Fri Nov 29 23:18:50 +0000 2013,3688,4102,True,2973,2310,0,1,0,False,3,0,MobileApp,True,RT @glazingblogger: Thoughts and prayers to all involved in the Glasgow helicopter crash tonight.,Media,Sympathy and support,Related - but not informative,2151
406562938028576768,Fri Nov 29 23:18:52 +0000 2013,4143,4354,False,47323,3354,2,1,1,False,643,0,Tablet,True,"RT @BBCBreaking: People being ""pulled out"" of #Clutha pub after Glasgow #helicopter crash, eyewitness tells BBC News http://t.co/G4Yr6fuODv",Media,Affected individuals,Related and informative,2153
406563068085555200,Fri Nov 29 23:19:23 +0000 2013,382,358,True,1931,2999,0,0,0,False,0,1,MobileApp,False,Hoping people are ok at Clutha pub in Glasgow. Tragic. Helicopter crash.,Outsiders,Sympathy and support,Related - but not informative,2184
406563101644173312,Fri Nov 29 23:19:31 +0000 2013,103,258,False,5771,1862,3,1,0,False,255,0,Tweetbot,True,RT @Janney_h: Omg.. Scary scenes over road #crash #helicopter #Glasgow http://t.co/wNWC8FH5ct,Outsiders,Other Useful Information,Related - but not informative,2192
406563147756347392,Fri Nov 29 23:19:42 +0000 2013,1583,811,True,125900,2790,0,2,0,False,61,0,MobileApp,True,RT @p_mcpartlin: Appears to be a police helicopter going by this pic RT @Janney_h: Helicopter crash into pub over road from our hotel! http…,Outsiders,Other Useful Information,Related and informative,2203
406563357479927808,Fri Nov 29 23:20:32 +0000 2013,635,2674,False,2962,2551,0,1,1,False,153,0,MobileApp,True,RT @STVNews: A helicopter has crashed into the roof of the Clutha Bar is Stockwell Street in Glasgow http://t.co/0j2lszbBek,Media,Infrastructure and utilities,Related and informative,2253
406563374236196864,Fri Nov 29 23:20:36 +0000 2013,888,459,True,55087,3242,0,2,0,False,419,0,MobileApp,True,RT @c4marcus: Image here from @Janney_h appears to confirm it is indeed police helicopter involved in Glasgow crash: http://t.co/BySlVrh2aM,Outsiders,Other Useful Information,Related and informative,2257
406563734962700288,Fri Nov 29 23:22:02 +0000 2013,19892,1088,False,83321,3156,1,0,0,False,1,5,Client Web,False,Small relief that the crash wasn't accompanied by explosion/fire. Hope all got out without serious injury. No real news on that yet #clutha,Outsiders,Sympathy and support,Related - but not informative,2343
406563743339143168,Fri Nov 29 23:22:04 +0000 2013,313,958,True,6894,2155,1,1,0,False,17,0,MobileApp,True,"RT @ProtectRPolice: Thoughts tonight with all those involved in #Clutha helicopter crash.
All emergency services working hard together
#Eme…",Outsiders,Sympathy and support,Related - but not informative,2345
406563965649838080,Fri Nov 29 23:22:57 +0000 2013,11,107,False,15,2537,4,2,0,False,3,0,Tablet,True,RT @nora_eats: Thoughts with all at #clutha #glasgow #helicopter #crash site MT“@Janney_h: Helicopter crash into pub http://t.co/EluRSi3Cdb”,Outsiders,Sympathy and support,Related - but not informative,2398
406564083107131393,Fri Nov 29 23:23:25 +0000 2013,1018,970,True,23934,1889,0,1,1,False,3,0,MobileApp,True,RT @Michaelaby1: Helicopter 'crashes into pub in Glasgow' http://t.co/fgmY9dRnbU,Outsiders,Infrastructure and utilities,Related and informative,2426
406564301210546176,Fri Nov 29 23:24:17 +0000 2013,1544,4557,True,59891,3798,0,1,1,False,846,0,Tweetbot,True,"RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi",Media,Infrastructure and utilities,Related and informative,2478
