TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,nRetweets,nLikes,Source,isRetweet,Text,InfoSource,InfoType,Informativeness,DeltaSeconds
396205490209693696,Fri Nov 01 09:22:04 +0000 2013,651,1015,False,47946,2270,15,0,1,False,0,0,Client Web,False,KING D ROYALTY http://t.co/eXjB4V0rbx … #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 34,Not labeled,Not labeled,Not related,-25652
396263979762196480,Fri Nov 01 13:14:29 +0000 2013,278,666,False,57490,2270,15,0,1,False,0,1,Client Web,False,KING D ROYALTY http://t.co/2RJIrrnlOi … #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 81,Not labeled,Not labeled,Not applicable,-11707
396313082466541568,Fri Nov 01 16:29:36 +0000 2013,109,412,False,3072,2605,1,0,0,False,0,0,MobileWeb,False,Something's happening @ #LAX rt now!! Re-tweet.,Outsiders,Other Useful Information,Related - but not informative,0
396313543865552896,Fri Nov 01 16:31:26 +0000 2013,2740,2825,True,29207,3576,2,0,1,False,0,0,OtherSite,False,"#KourtneyKardashian is seen arriving at #LAX airport on October 31, 2013 in Los Angeles http://t.co/NVd0gvPZy1",Not labeled,Not labeled,Not related,110
396314030383443968,Fri Nov 01 16:33:22 +0000 2013,1160,601,True,23021,3395,0,1,0,False,0,0,Client Web,False,"What the hell is going on at LAX, and why does something bad ALWAYS happen at an airport on days that I fly? Explain, @jonostrower.",Outsiders,Affected individuals,Related - but not informative,226
396315108311199744,Fri Nov 01 16:37:39 +0000 2013,109,412,False,3072,2605,1,0,0,False,0,0,MobileWeb,False,Gunshots outside #LAX. Unknown if anyone is injured. Prayers go out to you all.,Outsiders,Sympathy and support,Related - but not informative,483
396315481621012480,Fri Nov 01 16:39:08 +0000 2013,2862,311,False,57282,3466,1,1,0,False,0,0,Client Web,False,Shooting in Terminal 3? Hard to get specifics. RT @TOPolk What the hell is going down at #LAX?,Outsiders,Sympathy and support,Related and informative,572
396315620050223104,Fri Nov 01 16:39:41 +0000 2013,668,2232,True,7428,3323,0,1,0,False,149,0,Client Web,True,RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down. Suspect down.,Media,Affected individuals,Related and informative,605
396317146751307776,Fri Nov 01 16:45:45 +0000 2013,185,1255,True,11753,2631,0,2,0,False,7,0,UnofficialApps,True,RT @charlescwcooke: California should pass gun control. RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down…,Outsiders,Other Useful Information,Related and informative,969
396317331330433024,Fri Nov 01 16:46:29 +0000 2013,7633,2262,True,1196,1701,1,2,0,False,93,0,Client Web,True,"RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, then everyone starting running for the door. Outside now @ #LAX http…",Eyewitness,Affected individuals,Related and informative,1013
