TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,nRetweets,nLikes,Source,isRetweet,Text,InfoSource,InfoType,Informativeness,DeltaSeconds
407129710162759680,Sun Dec 01 12:51:01 +0000 2013,4934,1796,True,23576,3410,0,0,0,True,5,0,Client Web,False,NYPD calling Level 3 mobilization (borough-wide) for possible train derailment near Spuyten Duyvil Metro North station in the Bronx,Government,Other Useful Information,Related and informative,0
407132251882020865,Sun Dec 01 13:01:07 +0000 2013,898,501,False,17514,2427,0,1,0,False,724,0,MobileApp,True,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,606
407132738450640896,Sun Dec 01 13:03:03 +0000 2013,3779,2854,True,47458,3187,0,1,0,False,724,0,MobileApp,True,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,722
407132918793142272,Sun Dec 01 13:03:46 +0000 2013,1279,743,False,7276,2783,1,2,0,False,0,0,TweetDeck,False,RT @ajamlive: Police: A Metro-North passenger train has derailed in New York City; some cars in water-@AP #breaking,Media,Infrastructure and utilities,Related and informative,765
407133485040959488,Sun Dec 01 13:06:01 +0000 2013,414,1098,True,608,3512,0,1,0,False,724,0,MobileApp,True,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Infrastructure and utilities,Related and informative,900
407133636002316288,Sun Dec 01 13:06:37 +0000 2013,1161,516,False,414568,2509,0,2,0,False,334,0,Client Web,True,RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP,Media,Other Useful Information,Related and informative,936
407134701355556865,Sun Dec 01 13:10:51 +0000 2013,972605,2014,True,65605,3427,0,1,0,True,14,3,UnofficialApps,False,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,1190
407135812883841024,Sun Dec 01 13:15:16 +0000 2013,264,277,True,4243,2761,0,1,1,False,383,0,MobileApp,True,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative,1455
407136064525316096,Sun Dec 01 13:16:16 +0000 2013,991,873,True,13618,3326,0,1,0,False,188,0,MobileApp,True,RT @BreakingNews: Unknown number of injuries in New York City train derailment near Metro-North Spuyten Duyvil station in the Bronx - @CBSN…,Media,Affected individuals,Related and informative,1515
407136341332611072,Sun Dec 01 13:17:22 +0000 2013,960,1248,False,50550,2455,0,2,0,False,1,0,MobileApp,True,RT @ecthompsonmd: RT @AP: MORE: A woman at the scene of an NYC train derailment says some train cars are in the water: http://t.co/GWhgXC3j…,Media,Other Useful Information,Related and informative,1581
407136425222864896,Sun Dec 01 13:17:42 +0000 2013,3136,4472,False,53644,3813,0,1,1,False,383,0,Client Web,True,"RT @BBCBreaking: A Metro-North passenger train has derailed in New York City, and a number of injuries are reported http://t.co/fISiSFeTm7",Media,Affected individuals,Related and informative,1601
407136676902084608,Sun Dec 01 13:18:42 +0000 2013,6792,2871,False,4643,1932,1,0,0,False,0,0,MobileApp,False,THERE HAS BEEN ONE FATALITY SO FAR AT THE METRO NORTH DERAILMENT IN BRONX NYC #BREAKING,Outsiders,Affected individuals,Related and informative,1661
407136739816660992,Sun Dec 01 13:18:57 +0000 2013,547,716,False,3338,2666,0,0,0,False,0,0,MobileApp,False,Train derailed in New York! Hope everyone's ok👏,Outsiders,Sympathy and support,Related - but not informative,1676
407136748192690176,Sun Dec 01 13:18:59 +0000 2013,89,475,False,3081,3147,0,1,0,False,300,0,Tablet,True,"RT @BreakingNews: Numerous emergency vehicles responding to New York City train derailment, some trains submerged in water, eyewitness clai…",Media,Other Useful Information,Related and informative,1678
407136999850926080,Sun Dec 01 13:19:59 +0000 2013,377,392,True,15388,2464,0,0,0,False,0,1,MobileApp,False,"Train crash in New York, helicopter crash in Glasgow, Paul Walker has died...this really is an awful week!",Outsiders,Other Useful Information,Related - but not informative,1738
407137196966445056,Sun Dec 01 13:20:46 +0000 2013,208,403,False,4785,3298,0,1,0,False,724,0,MobileApp,True,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Infrastructure and utilities,Related and informative,1785
407137947767414784,Sun Dec 01 13:23:45 +0000 2013,412,883,False,95298,3554,0,2,0,False,334,0,Tweetbot,True,RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP,Media,Other Useful Information,Related and informative,1964
407138836947296258,Sun Dec 01 13:27:17 +0000 2013,224,438,True,4644,3324,0,2,0,False,0,0,MobileApp,False,Train na naman!!--&gt;“@ANCALERTS: Police say a Metro-North passenger train has derailed in New York City; some cars in water | via @AP”,Outsiders,Infrastructure and utilities,Related and informative,2176
407138862117691392,Sun Dec 01 13:27:23 +0000 2013,759,927,False,4102,2963,0,1,0,False,211,0,MobileApp,True,"RT @BreakingNews: Train involved in derailment was the 05:54 a.m. train from Poughkeepsie, New York, due at Grand Central at 07:43 a.m. - @…",Media,Infrastructure and utilities,Related and informative,2182
407138941825871872,Sun Dec 01 13:27:42 +0000 2013,130,352,False,7230,3222,0,1,0,False,211,0,MobileApp,True,"RT @BreakingNews: Train involved in derailment was the 05:54 a.m. train from Poughkeepsie, New York, due at Grand Central at 07:43 a.m. - @…",Media,Other Useful Information,Related and informative,2201
407139025720713216,Sun Dec 01 13:28:02 +0000 2013,889,509,True,12650,2211,0,3,0,False,87,0,Client Web,True,RT @nycjim: Wow. “@NJerzyFireAlert: AERIAL PICTURE METRO NORTH TRAIN DERAILMENT IN BRONX NYC. @PzFeed http://t.co/yU2ZxnFY9r”,Outsiders,Other Useful Information,Related and informative,2221
407139105412489216,Sun Dec 01 13:28:21 +0000 2013,491,498,True,7918,2448,0,0,0,False,0,0,MobileApp,False,"Now a train has derailed in New York...what is happening to this world?!,",Outsiders,Sympathy and support,Related - but not informative,2240
407139520627605504,Sun Dec 01 13:30:00 +0000 2013,4433,1671,False,14467,3065,0,1,1,False,129,0,MobileApp,True,RT @BreakingNews: Photo: Carriages in New York City train derailment - via Instagram user squintysabre http://t.co/gVtVcivKUV,Media,Other Useful Information,Related and informative,2339
